looking_at_viewer	cowboy_shot,standing,holding,upper_body,full_body,hand_up,sitting,looking_back,head_tilt,arm_up,hands_up,v,feet_out_of_frame,ass_visible_through_thighs,one_eye_closed,lying,pov,arms_up,leaning_forward,hand_on_own_hip,from_behind,arm_support,floating_hair,from_above,lifting_own_clothes,holding_weapon,on_back,hand_on_own_chest,wariza,knees_up,standing_on_one_leg,arm_at_side,knee_up,clothes_lift,on_bed,crossed_legs,arms_behind_head,index_finger_raised,from_below,arm_behind_back,leg_up,reaching_towards_viewer,hand_in_own_hair,finger_to_mouth,contrapposto,from_side,arm_behind_head,legs_together,claw_pose,on_side,holding_food,foot_out_of_frame,knees_together_feet_apart,own_hands_together,outstretched_arm,arms_behind_back,mouth_hold,reaching,between_legs,between_breasts,hand_between_legs,cropped_legs,arm_under_breasts,holding_cup,hand_on_own_face,wading,heart_hands,paw_pose,legs_apart,pov_hands,yokozuwari,foot_focus,covering_privates,sweat,squatting,spread_legs,hair_spread_out,kneeling,pulling_own_clothes,hand_on_own_thigh,clothes_pull,double_v,adjusting_eyewear,skirt_hold,on_stomach,cropped_torso,licking_lips,hand_on_own_cheek,arms_at_sides,holding_tray,presenting_armpit,legs_up,pointing_at_viewer,pov_crotch,v_arms,head_rest,skirt_lift,partially_submerged,holding_own_hair,presenting
holding	holding_weapon,holding_food,holding_cup,holding_gun,holding_phone,looking_at_viewer,standing,holding_book,full_body,holding_umbrella,dual_wielding,holding_unworn_clothes,holding_flower,holding_bag,holding_knife,holding_bottle,holding_tray,holding_polearm,eating,holding_microphone,holding_poke_ball,hand_up,holding_animal,holding_own_hair,holding_stuffed_toy,holding_plate,sitting,holding_gift,holding_fruit,holding_can,cowboy_shot,holding_candy,holding_spoon,holding_fork,holding_chopsticks,holding_cigarette,floating_hair,holding_bow_(weapon),holding_card,holding_wand,holding_ball,holding_camera,holding_lollipop,holding_pen,holding_paper,between_fingers,holding_hat,holding_removed_eyewear,holding_pom_poms,hands_up,holding_towel,upper_body,holding_shield,holding_broom,holding_bowl,holding_box,looking_to_the_side,holding_mask,arm_up,holding_drink,holding_scythe,trigger_discipline,looking_at_another,holding_axe,holding_leash,holding_controller,holding_dagger,holding_underwear,from_side,holding_flag,holding_condom,feet_out_of_frame,aiming,holding_smoking_pipe,holding_doll,holding_hammer,over_shoulder,sheathed,holding_basket,holding_sheath,holding_syringe,holding_pokemon,holding_paintbrush,holding_clipboard,holding_panties,holding_popsicle,holding_handheld_game_console,drinking,holding_cat,crossed_legs,holding_swim_ring,holding_game_controller,standing_on_one_leg,holding_arrow,holding_sack,holding_sign,smoking,holding_baseball_bat,outstretched_arm,unsheathed
sitting	wariza,crossed_legs,seiza,looking_at_viewer,arm_support,sitting_on_person,yokozuwari,knees_up,on_chair,indian_style,full_body,knee_up,between_legs,hand_between_legs,feet_out_of_frame,sitting_on_lap,holding,spread_legs,holding_cup,soaking_feet,on_floor,knees_together_feet_apart,on_couch,hugging_own_legs,leaning_back,pantyshot,head_tilt,sitting_on_throne,eating,looking_at_another,foot_focus,hand_up,on_ground,on_bed,v_arms,on_desk,head_rest,on_bench,from_above,hand_on_own_knee,holding_food,foot_out_of_frame,reading,sitting_on_stairs,looking_up,sitting_in_tree,sitting_on_object,lap_pillow,in_tree,sleeping,holding_book,on_lap,hand_on_own_face,convenient_leg,legs_together,partially_submerged,hands_on_lap,looking_to_the_side,crossed_ankles,sitting_on_table,sitting_on_face,mouth_hold,on_rock,hand_on_own_cheek,from_side,sitting_backwards,playing_games,elbow_rest,drinking,holding_phone,hands_on_own_knees,arm_rest,sweat,leaning_on_person,butterfly_sitting,sleeping_upright,holding_controller,on_stool,bathing,animal_on_lap,spread_toes,shared_bathing,same-sex_bathing,looking_down,kneeling,covering_privates,leaning_to_the_side,holding_game_controller,arms_between_legs,playing_instrument,lap_pillow_invitation,hands_on_feet,drunk,presenting_foot,knees_apart_feet_together,own_hands_together,hand_on_lap,hand_on_own_leg,holding_bottle,on_car
standing	standing_on_one_leg,cowboy_shot,full_body,looking_at_viewer,holding,hand_on_own_hip,standing_sex,hand_up,legs_apart,contrapposto,holding_weapon,standing_split,leg_up,from_behind,arm_up,leaning_forward,ass_visible_through_thighs,split,floating_hair,hands_up,arm_at_side,looking_to_the_side,looking_back,from_side,feet_out_of_frame,wading,looking_at_another,arm_behind_back,arms_at_sides,legs_together,arms_up,arms_behind_back,head_tilt,outstretched_arm,pigeon-toed,from_below,hand_in_pocket,holding_gun,hands_on_own_hips,lifting_own_clothes,looking_down,standing_on_liquid,holding_bag,profile,leg_lift,clenched_hand,skirt_hold,bent_over,crossed_arms,clothes_lift,facing_away,outstretched_arms,cropped_legs,hands_in_pockets,pantyshot,one_eye_closed,own_hands_together,holding_umbrella,wind_lift,against_wall,sheathed,sex_from_behind,clenched_hands,holding_tray,skirt_lift,facing_viewer,v,flexible,fighting_stance,heel_up,adjusting_clothes,walking,hand_on_own_chest,tiptoes,hand_in_own_hair,index_finger_raised,holding_polearm,looking_up,arm_behind_head,side-by-side,over_shoulder,dual_wielding,waving,undressing,holding_phone,turnaround,holding_unworn_clothes,arms_behind_head,holding_ball,pulling_own_clothes,dress_lift,pointing,looking_afar,clothes_pull,lineup,upskirt,holding_broom,have_to_pee,talking,spread_arms
full_body	standing,looking_at_viewer,holding,holding_weapon,sitting,standing_on_one_leg,squatting,knees_together_feet_apart,kneeling,legs_apart,hand_up,pigeon-toed,leg_up,hand_on_own_hip,floating_hair,floating,knees_up,holding_gun,walking,crossed_legs,wariza,tiptoes,arm_up,from_side,looking_to_the_side,outstretched_arms,from_above,outstretched_arm,jumping,arm_at_side,seiza,from_behind,arm_support,sheathed,arms_at_sides,between_legs,hand_between_legs,holding_polearm,holding_bag,dual_wielding,foot_focus,skirt_hold,plantar_flexion,heel_up,on_one_knee,legs_together,knee_up,turnaround,head_tilt,crossed_ankles,indian_style,holding_umbrella,own_hands_together,hugging_own_legs,hand_in_pocket,hands_up,yokozuwari,running,looking_back,on_ground,feet_up,arms_behind_back,legs_up,hand_on_own_knee,v_arms,holding_bow_(weapon),spread_arms,midair,clenched_hand,holding_book,hands_in_pockets,facing_viewer,looking_up,trigger_discipline,planted,fighting_stance,leaning_forward,hands_on_own_hips,holding_broom,on_floor,spread_toes,ass_visible_through_thighs,clenched_hands,the_pose,holding_scythe,weapon_on_back,convenient_leg,holding_wand,one_eye_closed,leaning_back,foot_up,holding_shield,profile,looking_ahead,bound_legs,knees_apart_feet_together,jack-o'_challenge,holding_food,on_stomach,pantyshot
upper_body	looking_at_viewer,cropped_torso,hand_up,hands_up,from_side,holding,looking_to_the_side,profile,head_tilt,facing_viewer,looking_at_another,own_hands_together,holding_food,index_finger_raised,hand_on_own_face,one_eye_closed,holding_flower,floating_hair,heart_hands,v,looking_ahead,hand_on_own_chest,crossed_arms,adjusting_eyewear,eating,holding_cup,holding_own_hair,hands_on_own_face,hand_on_own_cheek,arms_up,paizuri,hand_in_own_hair,hand_on_own_chin,finger_to_mouth,arms_at_sides,arm_up,head_rest,hands_on_own_chest,hand_on_another's_face,steepled_fingers,mouth_hold,hand_on_another's_shoulder,looking_down,covering_own_mouth,holding_animal,reaching_towards_viewer,looking_afar,tying_hair,hands_on_own_cheeks,pov_hands,heads_together,reaching,presenting_armpit,face-to-face,out_of_frame,facing_another,holding_gift,arm_at_side,holding_chopsticks,arm_under_breasts,double_v,adjusting_hair,claw_pose,pointing,4-finger_heart_hands,between_breasts,sweat,hand_on_another's_cheek,finger_to_cheek,own_hands_clasped,food_in_mouth,holding_spoon,hug,holding_book,holding_fork,holding_fruit,oripathy_lesion_(arknights),looking_up,talking,hand_to_own_mouth,clenched_hand,smoking,imminent_kiss,looking_at_object,kiss,animal_on_shoulder,pointing_at_self,kissing_cheek,arms_under_breasts,hands_in_hair,hands_on_another's_face,holding_cigarette,holding_bowl,hand_on_another's_arm,arms_behind_head,breast_rest,finger_to_own_chin,clenched_hands,pointing_at_viewer,mask_pull
cowboy_shot	standing,looking_at_viewer,ass_visible_through_thighs,hand_up,contrapposto,holding,hand_on_own_hip,cropped_legs,leaning_forward,hands_up,arm_up,arm_at_side,arms_up,lifting_own_clothes,arm_behind_back,from_side,head_tilt,from_behind,floating_hair,clothes_lift,arms_behind_back,legs_together,looking_to_the_side,looking_back,from_below,hand_on_own_chest,legs_apart,arms_behind_head,wading,holding_weapon,arm_behind_head,hand_in_own_hair,arms_at_sides,undressing,v,looking_down,skirt_lift,hand_in_pocket,one_eye_closed,pulling_own_clothes,adjusting_clothes,arm_under_breasts,profile,hands_on_own_hips,index_finger_raised,arched_back,clothes_pull,dress_lift,skirt_hold,hand_on_own_thigh,clenched_hand,own_hands_together,w_arms,outstretched_arm,facing_viewer,holding_tray,wind_lift,strap_pull,crossed_arms,hands_in_pockets,twisted_torso,holding_own_hair,claw_pose,mouth_hold,adjusting_swimsuit,stretching,hands_on_own_chest,covering_privates,holding_towel,between_breasts,tying_hair,sweat,holding_pom_poms,holding_unworn_clothes,holding_ball,looking_ahead,hand_on_headwear,holding_bag,holding_own_arm,leaning_to_the_side,hands_in_hair,adjusting_hair,finger_to_mouth,hand_on_own_arm,hand_on_own_head,arms_under_breasts,reaching_towards_viewer,presenting_armpit,clenched_hands,bikini_pull,holding_bottle,oripathy_lesion_(arknights),armpit_peek,holding_gun,holding_swim_ring,holding_food,sheathed,side-by-side,covering_breasts,looking_afar
sweat	sex,vaginal,spread_legs,cum,cum_in_pussy,trembling,steaming_body,sex_from_behind,lying,pov,on_back,straddling,girl_on_top,clothes_lift,groping,cowgirl_position,grabbing_another's_breast,clothed_sex,on_bed,missionary,cum_on_body,oral,ejaculation,after_sex,doggystyle,group_sex,fellatio,cum_overflow,cumdrip,paizuri,anal,clothes_pull,masturbation,arms_up,fingering,happy_sex,orgasm,nipple_stimulation,bound,after_vaginal,bouncing_breasts,looking_at_another,grabbing_from_behind,bdsm,female_masturbation,standing_sex,cum_on_breasts,rape,all_fours,female_orgasm,restrained,nipple_tweak,threesome,handjob,rolling_eyes,bent_over,lifting_own_clothes,object_insertion,spread_pussy,leg_grab,pov_crotch,dildo,implied_sex,facial,precum,torso_grab,skirt_lift,hanging_breasts,squatting_cowgirl_position,grabbing_another's_ass,sheet_grab,cum_in_mouth,breast_press,looking_at_viewer,female_ejaculation,lactation,assertive_female,fucked_silly,arms_behind_head,moaning,looking_down,french_kiss,panty_pull,m_legs,kiss,pov_hands,imminent_penetration,reverse_cowgirl_position,internal_cumshot,gangbang,squatting,boy_on_top,deep_penetration,top-down_bottom-up,wiping_sweat,cum_in_ass,public_indecency,from_behind,twitching,bound_wrists
lying	on_back,on_side,on_stomach,on_bed,spread_legs,missionary,sex,vaginal,legs_up,cum,sweat,sleeping,from_above,the_pose,cum_in_pussy,looking_at_viewer,hair_spread_out,pov,after_sex,cum_on_body,feet_up,clothes_lift,sheet_grab,arms_up,boy_on_top,m_legs,under_covers,head_on_pillow,on_floor,after_vaginal,spread_pussy,cumdrip,panty_pull,leg_grab,clothes_pull,prone_bone,clothed_sex,lying_on_person,on_couch,pillow_hug,hand_on_own_stomach,cum_overflow,hugging_object,masturbation,knees_up,bound,pillow_grab,girl_on_top,ejaculation,group_sex,facial,feet_out_of_frame,imminent_penetration,anal,upside-down,female_masturbation,fingering,groping,on_ground,arm_up,cum_on_breasts,leg_up,trembling,happy_sex,sleep_molestation,straddling_paizuri,looking_at_another,grabbing_another's_breast,head_rest,lap_pillow,orgasm,bdsm,presenting,spooning,knee_up,spreading_own_pussy,rape,fetal_position,bra_lift,restrained,holding_hands,cum_on_hair,pov_hands,thigh_grab,mating_press,knees_to_chest,bound_wrists,object_insertion,cum_on_stomach,moaning,skirt_lift,female_orgasm,arm_support,breast_press,dildo,imminent_vaginal,pov_crotch,partially_submerged,leg_lift,interlocked_fingers
one_eye_closed	v,looking_at_viewer,arm_up,yawning,index_finger_raised,holding,hand_up,hug,hand_on_own_hip,rubbing_eyes,v_over_eye,heart_hands,standing_on_one_leg,waking_up,cheek-to-cheek,standing,blowing_kiss,stretching,arms_up,heads_together,pointing,double_v,facial,salute,upper_body,leg_up,cowboy_shot,cum,outstretched_arm,holding_microphone,cum_on_body,hands_up,splashing,finger_to_mouth,ejaculation,looking_at_another,selfie,hug_from_behind,holding_hands,arm_behind_head,finger_gun,pointing_at_viewer,grabbing_another's_breast,waving,paw_pose,leaning_forward,groping,thumbs_up,cum_on_hair,sandwiched,hand_on_another's_shoulder,kissing_cheek,girl_sandwich,sex,full_body,lying,sweat,sitting,vaginal,cum_on_breasts,4-finger_heart_hands,wading,jumping,breast_press,paizuri,interlocked_fingers,heart_hands_duo,holding_cup,locked_arms,finger_frame,head_tilt,clenched_hand,holding_pom_poms,hand_on_another's_head,holding_food,projectile_cum,outstretched_arms,group_sex,gyaru_v,same-sex_bathing,on_back,shushing,shared_bathing,headpat,finger_heart,hand_on_own_head,holding_water_gun,grabbing_from_behind,ok_sign,holding_camera,holding_bottle,finger_to_cheek,hand_on_own_face,reaching_towards_viewer,wiping_tears,crossed_arms,holding_tray,lineup,holding_plate,pointing_up
