1girl	solo,hetero,virtual_youtuber,solo_focus,1boy,maid,borrowed_character,office_lady,cheerleader,lolita_fashion,christmas,mecha_musume,personification,magical_girl,onee-shota,race_queen,valentine,interracial,enmaided,gothic_lolita,nurse,chinese_zodiac,brother_and_sister,witch,halloween,oppai_loli,nun,new_year,dancer,miko,unconventional_maid,ninja,jirai_kei,bride,netorare,nontraditional_playboy_bunny,kitsune,idol,waitress,instant_loss,pokephilia,military,goth_fashion,ancient_egyptian,interspecies,summer,kono_lolicon_domome,prostitution,policewoman,teacher,nekomata,mtu_virus,yandere,paizuri_invitation,winter,creature_and_personification,slime_girl,wa_maid,kyuubi,year_of_the_tiger,furry_with_non-furry,age_difference,year_of_the_ox,cheating_(relationship),nontraditional_miko,abuse,police,husband_and_wife,heart-shaped_boob_challenge,anal_only,corruption,topless_female,princess,year_of_the_snake,ballerina,bunny_day,k/da_(league_of_legends),dark_persona,ballet,slave,futa_on_male,animification,male_on_futa,sheikah,gymnastics,year_of_the_rabbit,yandere_trance,chikan,public_use,tour_guide,valkyrie,knight_(chess),implied_pregnancy,reverse_fellatio,after_bathing,stripper,housewife,weight_conscious,cat_day,toddlercon
solo	1girl,virtual_youtuber,male_focus,maid,lolita_fashion,enmaided,christmas,valentine,magical_girl,mecha_musume,cheerleader,gothic_lolita,chinese_zodiac,race_queen,borrowed_character,new_year,halloween,dancer,unconventional_maid,miko,witch,personification,office_lady,ninja,nontraditional_playboy_bunny,kono_lolicon_domome,nurse,jirai_kei,idol,nekomata,summer,waitress,nun,kitsune,goth_fashion,nontraditional_miko,ancient_egyptian,year_of_the_ox,year_of_the_tiger,winter,bara,wa_maid,heart-shaped_boob_challenge,paizuri_invitation,bunny_day,year_of_the_rabbit,bride,knight_(chess),kyuubi,self-harm,dark_persona,yandere_trance,stripper,cat_day,year_of_the_snake,ballerina,shinsengumi,gathers,year_of_the_dragon,k/da_(league_of_legends),gymnastics,ballet,pirate,fusion,karakasa_obake,rhythmic_gymnastics,sweet_lolita,nudist,science_fiction,after_bathing,e.g.o_(project_moon),humanization,self_cosplay,animification,corruption,oppai_loli,standard_bearer,policewoman,asian,valkyrie,samurai,dancer_(fire_emblem:_three_houses),soccer,onmyouji,cowboy_western,oiran,yuujo,slime_girl,year_of_the_rooster,teacher,jiangshi,weight_conscious,warrior,tour_guide,nazi,surreal,croupier,mechanic,easter,kyuudou
multiple_girls	2girls,yuri,3girls,4girls,6+girls,sisters,siblings,5girls,twins,futa_with_female,dual_persona,mother_and_daughter,multiple_boys,everyone,6+boys,military,incest,onee-loli,wife_and_wife,maid,multiple_persona,couple,harem,bisexual_female,clone,femdom,female_pervert,family,pervert,fff_threesome,3boys,magical_girl,age_difference,nontraditional_miko,in-franchise_crossover,futa_with_futa,4boys,time_paradox,ho-kago_tea_time,2boys,inkling,5boys,serval_print,father_and_daughter,selfcest,anniversary,twincest,kodomo_doushi,cousins,yukkuri_shiteitte_ne,angel_and_devil,size_difference,triplets,team_9_(touhou),holomyth,aunt_and_niece,halloween,christmas,game_development_department_(blue_archive),glutton,friends,sexual_coaching,look-alike,octoling,brother_and_sister,motherly,karakasa_obake,absolutely_everyone,nun,jiangshi,sailor_senshi,miko,mother_and_son,new_year,holocouncil,misunderstanding,tea_party_(blue_archive),quintuplets,grass_root_youkai_network,himejoshi,prank,role_reversal,inner_senshi,theft,futasub,waitress,festival,hololive_fantasy,nekomata,tsundere,bullying,sailor,enmaided,husband_and_wife,newhalf_with_female,idol,grandmother_and_granddaughter,party,clothes_theft,lolita_fashion
1boy	hetero,male_focus,solo_focus,couple,1girl,brother_and_sister,bara,age_difference,crossdressing,interracial,onee-shota,femdom,siblings,husband_and_wife,interspecies,size_difference,incest,father_and_daughter,netorare,furry_with_non-furry,instant_loss,mother_and_son,military,bisexual_female,futa_on_male,harem,pokephilia,cheating_(relationship),male_playboy_bunny,super_saiyan,family,twins,furry_with_furry,male_maid,kodomo_doushi,mother_and_daughter,lolidom,tentacles_on_male,prostitution,sexual_coaching,alternate_universe,male_on_futa,salaryman,alternate_form,sadism,oppai_loli,magical_boy,wedding,knight,aunt_and_nephew,super_saiyan_4,transformation,groom,priest,mixed-sex_combat,e.g.o_(project_moon),implied_yaoi,super_saiyan_1,butler,chikan,newhalf_with_male,death,abuse,team_rocket,cousins,nun,reverse_fellatio,uncle_and_niece,twincest,accidental_pervert,toddlercon,animification,policeman,role_reversal,borrowed_character,yandere,humiliation,teacher_and_student,tsundere,pervert,penis_size_difference,1other,implied_after_sex,implied_incest,grandmother_and_grandson,drugged,bangboo_(zenless_zone_zero),ryona,step-siblings,step-brother_and_step-sister,waiter,slave,anal_only,reverse_ryona,police,samurai,doctor,ninja,super_saiyan_blue,primarch
2girls	multiple_girls,yuri,sisters,siblings,twins,dual_persona,futa_with_female,mother_and_daughter,incest,couple,wife_and_wife,onee-loli,femdom,bisexual_female,age_difference,futa_with_futa,female_pervert,pervert,family,maid,selfcest,inkling,twincest,magical_girl,military,time_paradox,kodomo_doushi,multiple_boys,angel_and_devil,cousins,father_and_daughter,serval_print,size_difference,in-franchise_crossover,sexual_coaching,nontraditional_miko,octoling,2boys,look-alike,friends,mother_and_son,christmas,futasub,yukkuri_shiteitte_ne,role_reversal,clone,halloween,newhalf_with_female,brother_and_sister,motherly,husband_and_wife,jiangshi,new_year,step-sisters,miko,aunt_and_niece,interracial,wedding,shadow_(shadows_house),tsundere,3boys,rivalry,glutton,virtual_youtuber,futa_without_pussy,implied_yuri,furry_with_furry,enmaided,dark_persona,master_and_servant,karakasa_obake,prank,misunderstanding,theft,4boys,interspecies,ryona,teacher_and_student,valentine,luna_nova_school_uniform,step-siblings,personality_switch,death,alternate_universe,clothes_theft,lolita_fashion,grandmother_and_granddaughter,police,sailor_senshi,straw_hat_pirates,hyur,forced_partners,policewoman,anniversary,waitress,kitsune,winter,masochism,crisis_management_form_(machimazo),nekomata
hetero	1boy,solo_focus,1girl,couple,interracial,multiple_boys,age_difference,onee-shota,interspecies,3boys,femdom,netorare,2boys,incest,furry_with_non-furry,instant_loss,size_difference,pokephilia,4boys,cheating_(relationship),husband_and_wife,harem,brother_and_sister,kodomo_doushi,prostitution,bisexual_female,5boys,furry_with_furry,reverse_fellatio,chikan,lolidom,sexual_coaching,oppai_loli,abuse,6+boys,humiliation,borrowed_character,slave,siblings,mother_and_son,sadism,twincest,toddlercon,wedding,drugged,public_use,anal_only,groom,captured,ryona,father_and_daughter,josou_seme,nun,netorase,mixed-sex_combat,teacher_and_student,virtual_youtuber,nurse,boy_sandwich,bride,aunt_and_nephew,teacher,drugs,soapland,reverse_ryona,accidental_pervert,dominatrix,masochism,slime_girl,ero_guro,twins,mother_and_daughter,cousins,time_stop,implied_incest,implied_after_sex,cheerleader,pervert,family,sheikah,virgin,topless_female,role_reversal,implied_pregnancy,selfcest,torture,office_lady,tsundere,corruption,female_pervert,warrior_(dq3),doctor,sangvis_ferri,exhausted,clone,ancient_egyptian,triplets,princess,k/da_(league_of_legends),native_american
virtual_youtuber	1girl,solo,holomyth,jirai_kei,holocouncil,solo_focus,hololive_fantasy,pirate,holox,twins,nurse,idol,5girls,mascot,detective,wa_maid,lolita_fashion,gothic_lolita,multiple_girls,nun,maid,2girls,enmaided,hetero,goth_fashion,interracial,yandere,dinosaur_costume,unconventional_maid,summer,tanuki,yuri,anniversary,valentine,objectification,halloween,princess,nontraditional_miko,christmas,bunny_day,sisters,police,nontraditional_playboy_bunny,office_lady,multiple_others,astronaut,dark_persona,summer_festival,delinquent,policewoman,topless_female,instant_loss,dual_persona,cheerleader,cat_day,cowboy_western,selfcest,6+others,clothed_animal,wife_and_wife,horror_(theme),winter,1other,2others,fusion,mother_and_daughter,futa_with_female,samurai,bisexual_female,multiple_persona,witch,clone,year_of_the_rabbit,year_of_the_tiger,female_pervert
solo_focus	hetero,1boy,1girl,multiple_boys,interracial,2boys,1other,3boys,yaoi,interspecies,4boys,people,furry_with_non-furry,femdom,netorare,multiple_others,age_difference,pokephilia,virtual_youtuber,5boys,size_difference,6+boys,humiliation,prostitution,chikan,instant_loss,cheating_(relationship),oppai_loli,abuse,reverse_fellatio,bara,borrowed_character,2others,male_on_futa,slave,6+others,penis_size_difference,public_use,furry_with_furry,lolidom,anal_only,ryona,captured,onee-shota,mmm_threesome,toddlercon,sadism,cheerleader,nurse,drugged,office_lady,nun,futa_with_female,male_focus,death,incest,drugs,crossdressing,torture,masochism,teacher,police,pervert,slime_girl,futasub,futa_on_male,sangvis_ferri,jiangshi,topless_female,guro,stripper,female_pervert,futa_without_pussy,policewoman,festival,soldier,yandere,dominatrix,bride,male_playboy_bunny,ancient_egyptian,corruption,wedding,princess,bangboo_(zenless_zone_zero),waitress,3girls,tsundere,pirate,maid,ninja,kitsune,knight,idol,clothed_pokemon,brother_and_sister,race_queen,miko
male_focus	1boy,multiple_boys,2boys,yaoi,bara,crossdressing,3boys,solo,super_saiyan,brothers,4boys,male_playboy_bunny,male_maid,couple,mmm_threesome,6+boys,onii-shota,implied_yaoi,super_saiyan_4,super_saiyan_1,father_and_son,tentacles_on_male,5boys,size_difference,penis_size_difference,super_saiyan_blue,josou_seme,muscular_uke,animification,knight,saiyan,dual_persona,alternate_form,alternate_universe,salaryman,interspecies,e.g.o_(project_moon),boy_sandwich,interracial,husband_and_husband,samurai,primarch,furry_with_non-furry,furry_with_furry,hyur,magical_boy,transformation,humanization,priest,multiple_persona,policeman,ninja,science_fiction,masked,legendary_super_saiyan,death,teacher_and_student,waiter,spartan_(halo),time_paradox,enmaided,cowboy,selfcest,wizard,lifeguard,guro,dark_persona,clown,butler,horror_(theme),doctor,pirate,age_difference,monk,seraph,solo_focus,shinsengumi,alternate_species,personification,kodomo_doushi,soldier,onmyouji,fusion,possessed,surreal,dark_aura,oversized_animal,suicide,police,clone,self-harm,team_rocket,multiple_others,ancient_egyptian,otaku,cowboy_western,chef,year_of_the_dragon,asian,anniversary
multiple_boys	2boys,male_focus,3boys,yaoi,4boys,6+boys,hetero,5boys,bara,solo_focus,multiple_girls,brothers,everyone,crossdressing,6+girls,father_and_son,interracial,siblings,3girls,couple,4girls,brother_and_sister,interspecies,age_difference,size_difference,family,dual_persona,mother_and_son,mmm_threesome,netorare,onii-shota,father_and_daughter,boy_sandwich,penis_size_difference,super_saiyan,5girls,alternate_universe,2girls,multiple_persona,furry_with_non-furry,husband_and_wife,josou_seme,time_paradox,anniversary,onee-shota,absolutely_everyone,muscular_uke,animification,furry_with_furry,soldier,super_saiyan_1,implied_yaoi,male_playboy_bunny,bisexual_female,knight,humiliation,twins,multiple_others,in-franchise_crossover,straw_hat_pirates,cheating_(relationship),kodomo_doushi,super_saiyan_4,death,chikan,husband_and_husband,male_maid,male_harem,science_fiction,ninja,reverse_fellatio,mother_and_daughter,teacher_and_student,people,policeman,salaryman,hyur,clone,saiyan,grandfather_and_grandson,1other,super_saiyan_blue,friends,military,police,butler,waiter,slave,alternate_form,captured,prostitution,priest,uncle_and_nephew,team_rocket,war,pokephilia,selfcest,party,cousins,shotadom
