tag	count	franchises
hatsune miku	75449	vocaloid
hakurei reimu	53738	touhou
kirisame marisa	44234	touhou
flandre scarlet	42857	touhou
remilia scarlet	37210	touhou
artoria pendragon (fate)	30855	fate (series), fate/grand order, fate/stay night
izayoi sakuya	30132	touhou
komeiji koishi	28509	touhou
cirno	25856	touhou
konpaku youmu	24801	touhou
patchouli knowledge	23201	touhou
kochiya sanae	22692	touhou
yakumo yukari	22361	touhou
alice margatroid	22250	touhou
admiral (kancolle)	21631	kantai collection
sensei (blue archive)	21003	blue archive
shameimaru aya	20938	touhou
fujiwara no mokou	20005	touhou
komeiji satori	19223	touhou
reisen udongein inaba	19130	touhou
inubashiri momiji	18030	touhou
ganyu (genshin impact)	17520	genshin impact
akemi homura	16576	mahou shoujo madoka magica, mahou shoujo madoka magica (anime), mahou shoujo madoka magica: hangyaku no monogatari
hong meiling	16410	touhou
kaname madoka	15972	mahou shoujo madoka magica, mahou shoujo madoka magica (anime), mahou shoujo madoka magica: hangyaku no monogatari
saigyouji yuyuko	15972	touhou
mash kyrielight	15840	fate (series), fate/grand order
warrior of light (ff14)	15587	final fantasy, final fantasy xiv, original
shimakaze (kancolle)	15230	kantai collection
kaenbyou rin	15188	touhou
raiden shogun	15051	genshin impact
yakumo ran	15031	touhou
lumine (genshin impact)	14718	genshin impact
reiuji utsuho	14192	touhou
konpaku youmu (ghost)	14087	touhou
rumia	13963	touhou
houshou marine	13829	hololive
kaga (kancolle)	13806	kantai collection
gawr gura	13514	hololive, hololive english
chen	13297	touhou
yuuka (blue archive)	13065	blue archive
shigure (kancolle)	13014	kantai collection
hibiki (kancolle)	12869	kantai collection
kazami yuuka	12695	touhou
souryuu asuka langley	12532	neon genesis evangelion, rebuild of evangelion, evangelion: 3.0 you can (not) redo
moriya suwako	12472	touhou
asuna (blue archive)	12466	blue archive
kagamine rin	12455	vocaloid
gotoh hitori	12269	bocchi the rock!
doodle sensei (blue archive)	12204	blue archive
hu tao (genshin impact)	11990	genshin impact
tatara kogasa	11873	touhou
hinanawi tenshi	11761	touhou
kawashiro nitori	11758	touhou
link	11732	the legend of zelda, the legend of zelda: breath of the wild, the legend of zelda: tears of the kingdom
tamamo (fate)	11726	fate (series), fate/grand order, fate/extra
fujimaru ritsuka (male)	11699	fate (series), fate/grand order
shirakami fubuki	11305	hololive
hina (blue archive)	11188	blue archive
saber (fate)	11173	fate (series), fate/stay night, fate/grand order
hoshimachi suisei	11168	hololive
jeanne d'arc alter (fate)	11159	fate (series), fate/grand order
fujimaru ritsuka (female)	11020	fate (series), fate/grand order
mystia lorelei	10903	touhou
shiroko (blue archive)	10659	blue archive
trailblazer (honkai: star rail)	10629	honkai (series), honkai: star rail
kamishirasawa keine	10533	touhou
princess zelda	10458	the legend of zelda, the legend of zelda: tears of the kingdom, the legend of zelda: breath of the wild
tifa lockhart	10403	final fantasy, final fantasy vii, final fantasy vii remake
miki sayaka	10363	mahou shoujo madoka magica, mahou shoujo madoka magica (anime)
koakuma	10344	touhou
houraisan kaguya	10263	touhou
inaba tewi	10158	touhou
ibuki suika	10152	touhou
abigail williams (fate)	9955	fate (series), fate/grand order
furina (genshin impact)	9867	genshin impact
yae miko	9852	genshin impact
firefly (honkai: star rail)	9580	honkai (series), honkai: star rail
nazrin	9386	touhou
hoshino (blue archive)	9341	blue archive
sakura kyoko	9264	mahou shoujo madoka magica, mahou shoujo madoka magica (anime)
2b (nier:automata)	9229	nier (series), nier:automata
nero claudius (fate)	9145	fate (series), fate/grand order, fate/extra
mika (blue archive)	9143	blue archive
aether (genshin impact)	9060	genshin impact
frieren	9002	sousou no frieren
yuudachi (kancolle)	8994	kantai collection
tomoe mami	8933	mahou shoujo madoka magica, mahou shoujo madoka magica (anime)
usada pekora	8865	hololive
hamakaze (kancolle)	8845	kantai collection
kongou (kancolle)	8749	kantai collection
ninomae ina'nis	8690	hololive, hololive english
mori calliope	8630	hololive, hololive english
houjuu nue	8571	touhou
manjuu (azur lane)	8554	azur lane
toki (blue archive)	8486	blue archive
rem (re:zero)	8323	re:zero kara hajimeru isekai seikatsu
inkling player character	8308	splatoon (series), splatoon 1, splatoon 3
kashima (kancolle)	8228	kantai collection
doctor (arknights)	8214	arknights
shigure kai ni (kancolle)	8204	kantai collection
jeanne d'arc alter (avenger) (fate)	8181	fate (series), fate/grand order
yor briar	8177	spy x family
minato aqua	8168	hololive
megumin	8156	kono subarashii sekai ni shukufuku wo!
inazuma (kancolle)	8153	kantai collection
scathach (fate)	8143	fate (series), fate/grand order
fubuki (kancolle)	8106	kantai collection
nekomata okayu	8035	hololive
hijiri byakuren	8018	touhou
gardevoir	7946	pokemon
scaramouche (genshin impact)	7898	genshin impact
amiya (arknights)	7844	arknights
ouro kronii	7831	hololive, hololive english
nahida (genshin impact)	7828	genshin impact
nanashi mumei	7785	hololive, hololive english
sakura miko	7673	hololive
illyasviel von einzbern	7647	fate (series), fate/kaleid liner prisma illya, fate/stay night
mona (genshin impact)	7530	genshin impact
imaizumi kagerou	7528	touhou
nishizumi miho	7527	girls und panzer
tokoyami towa	7505	hololive
rio (blue archive)	7501	blue archive
mizuhashi parsee	7488	touhou
yagokoro eirin	7470	touhou
zhongli (genshin impact)	7459	genshin impact
akemi homura (magical girl)	7453	mahou shoujo madoka magica, mahou shoujo madoka magica (anime)
inkling girl	7453	splatoon (series), splatoon 1, splatoon 3
haruna (kancolle)	7396	kantai collection
stelle (honkai: star rail)	7336	honkai (series), honkai: star rail
yasaka kanako	7253	touhou
mari (blue archive)	7239	blue archive
koharu (blue archive)	7204	blue archive
misaka mikoto	7200	toaru majutsu no index, toaru kagaku no railgun
takanashi kiara	7193	hololive, hololive english
yuudachi kai ni (kancolle)	7178	kantai collection
suzuya (kancolle)	7152	kantai collection
akagi (kancolle)	7143	kantai collection
tenryuu (kancolle)	7125	kantai collection
kisaki (blue archive)	7118	blue archive
megurine luka	7114	vocaloid
makima (chainsaw man)	7077	chainsaw man
keqing (genshin impact)	7067	genshin impact
akatsuki (kancolle)	7052	kantai collection
ikazuchi (kancolle)	6982	kantai collection
daiyousei	6980	touhou
aris (blue archive)	6904	blue archive
ayanami rei	6861	neon genesis evangelion, rebuild of evangelion
kagiyama hina	6794	touhou
jeanne d'arc (fate)	6783	fate (series), fate/grand order, fate/apocrypha
kazusa (blue archive)	6763	blue archive
trainer (umamusume)	6584	umamusume
texas (arknights)	6508	arknights
pikachu	6499	pokemon, pokemon (anime)
zuikaku (kancolle)	6493	kantai collection
toyosatomimi no miko	6486	touhou
shiki eiki	6474	touhou
agnes tachyon (umamusume)	6434	umamusume
kafuu chino	6420	gochuumon wa usagi desu ka?
okita souji (fate)	6420	fate (series), fate/grand order, koha-ace
lillie (pokemon)	6391	pokemon, pokemon sm, pokemon (anime)
shuten douji (fate)	6381	fate (series), fate/grand order
producer (idolmaster)	6370	idolmaster, idolmaster cinderella girls, idolmaster shiny colors
dawn (pokemon)	6329	pokemon, pokemon dppt, pokemon (anime)
pyra (xenoblade)	6314	xenoblade chronicles (series), xenoblade chronicles 2
gawr gura (1st costume)	6312	hololive, hololive english
kasane teto	6301	utau, synthesizer v, vocaloid
kagamine len	6279	vocaloid
tohsaka rin	6257	fate (series), fate/stay night
marnie (pokemon)	6253	pokemon, pokemon swsh
wriggle nightbug	6245	touhou
nakano azusa	6242	k-on!
hoshiguma yuugi	6210	touhou
kamisato ayaka	6196	genshin impact
kayoko (blue archive)	6188	blue archive
watson amelia	6179	hololive, hololive english
akiyama mio	6178	k-on!
yuzuki yukari	6164	voiceroid, vocaloid
byleth (fire emblem)	6162	fire emblem, fire emblem: three houses, fire emblem heroes
nagato (kancolle)	6150	kantai collection
shanghai doll	6148	touhou
serval (kemono friends)	6108	kemono friends
tamamo no mae (fate/extra)	6108	fate (series), fate/extra, fate/grand order
amatsukaze (kancolle)	6105	kantai collection
kita ikuyo	6071	bocchi the rock!
karin (blue archive)	6066	blue archive
matoi ryuuko	6053	kill la kill
rosa (pokemon)	6051	pokemon, pokemon bw2, pokemon bw
shibuya rin	6044	idolmaster, idolmaster cinderella girls
usami renko	6013	touhou
paimon (genshin impact)	6000	genshin impact
nishikino maki	5960	love live!, love live! school idol project
onozuka komachi	5905	touhou
venti (genshin impact)	5885	genshin impact
ookami mio	5869	hololive
murakumo (kancolle)	5849	kantai collection
nishikigi chisato	5815	lycoris recoil
astolfo (fate)	5803	fate (series), fate/grand order, fate/apocrypha
kafka (honkai: star rail)	5801	honkai (series), honkai: star rail
fern (sousou no frieren)	5786	sousou no frieren
mononobe no futo	5773	touhou
sakamata chloe	5767	hololive
tojo nozomi	5749	love live!, love live! school idol project
kaname madoka (magical girl)	5728	mahou shoujo madoka magica, mahou shoujo madoka magica (anime)
shirogane noel	5682	hololive
maribel hearn	5680	touhou
morichika rinnosuke	5674	touhou
oozora subaru	5665	hololive
inugami korone	5661	hololive
amane kanata	5657	hololive
suzumiya haruhi	5626	suzumiya haruhi no yuuutsu
yamato (kancolle)	5612	kantai collection
mythra (xenoblade)	5548	xenoblade chronicles (series), xenoblade chronicles 2, super smash bros.
ryuujou (kancolle)	5543	kantai collection
skadi (arknights)	5517	arknights
eula (genshin impact)	5515	genshin impact
asuna (bunny) (blue archive)	5513	blue archive
mordred (fate)	5486	fate (series), fate/apocrypha, fate/grand order
shenhe (genshin impact)	5473	genshin impact
may (pokemon)	5465	pokemon, pokemon oras, pokemon rse
atago (kancolle)	5449	kantai collection
yazawa nico	5449	love live!, love live! school idol project
klee (genshin impact)	5434	genshin impact
cloud strife	5417	final fantasy, final fantasy vii, final fantasy vii remake
chun-li	5405	street fighter, street fighter 6
aru (blue archive)	5389	blue archive
ellen joe	5337	zenless zone zero
daiwa scarlet (umamusume)	5333	umamusume
arona (blue archive)	5331	blue archive
clownpiece	5329	touhou
hanako (blue archive)	5295	blue archive
hirasawa yui	5278	k-on!
rice shower (umamusume)	5277	umamusume
sonoda umi	5272	love live!, love live! school idol project
darjeeling (girls und panzer)	5269	girls und panzer
plana (blue archive)	5263	blue archive
princess peach	5259	mario (series), super smash bros.
ayase eli	5254	love live!, love live! school idol project
suletta mercury	5242	gundam, gundam suisei no majo
manhattan cafe (umamusume)	5237	umamusume
himekaidou hatate	5214	touhou
samus aran	5198	metroid, super smash bros.
ibaraki kasen	5177	touhou
yukihana lamy	5169	hololive
oyama mahiro	5166	onii-chan wa oshimai!
hk416 (girls' frontline)	5165	girls' frontline
ijichi nijika	5164	bocchi the rock!
aerith gainsborough	5137	final fantasy, final fantasy vii, final fantasy vii remake
bb (fate)	5109	fate (series), fate/grand order, fate/extra
boo tao (genshin impact)	5100	genshin impact
nami (one piece)	5091	one piece
hata no kokoro	5082	touhou
hilda (pokemon)	5080	pokemon, pokemon bw, pokemon bw2
fate testarossa	5065	lyrical nanoha, mahou shoujo lyrical nanoha strikers, mahou shoujo lyrical nanoha
elysia (honkai impact)	5049	honkai (series), honkai impact 3rd
shishiro botan	5040	hololive
cynthia (pokemon)	5036	pokemon, pokemon dppt
march 7th (honkai: star rail)	5036	honkai: star rail, honkai (series)
acheron (honkai: star rail)	5032	honkai: star rail, honkai (series)
ako (blue archive)	5030	blue archive
kasodani kyouko	5025	touhou
houshou (kancolle)	5020	kantai collection
minamoto no raikou (fate)	5011	fate (series), fate/grand order
aqua (konosuba)	4995	kono subarashii sekai ni shukufuku wo!
houshou marine (1st costume)	4972	hololive
kinomoto sakura	4967	cardcaptor sakura
nanami chiaki	4928	danganronpa (series), danganronpa 2: goodbye despair, galaga
byleth (female) (fire emblem)	4907	fire emblem, fire emblem: three houses, fire emblem heroes
noa (blue archive)	4902	blue archive
asashio (kancolle)	4889	kantai collection
prinz eugen (kancolle)	4867	kantai collection
jeanne d'arc (ruler) (fate)	4854	fate (series), fate/apocrypha, fate/grand order
junko (touhou)	4849	touhou
kiana kaslana	4843	honkai (series), honkai impact 3rd
nilou (genshin impact)	4826	genshin impact
tomoe mami (magical girl)	4813	mahou shoujo madoka magica, mahou shoujo madoka magica (anime)
lappland (arknights)	4802	arknights
nishizumi maho	4800	girls und panzer
toki (bunny) (blue archive)	4783	blue archive
momoi (blue archive)	4779	blue archive
mejiro mcqueen (umamusume)	4778	umamusume
miki sayaka (magical girl)	4755	mahou shoujo madoka magica, mahou shoujo madoka magica (anime)
inoue takina	4723	lycoris recoil
ushio (kancolle)	4722	kantai collection
yukikaze (kancolle)	4694	kantai collection
higuchi madoka	4680	idolmaster, idolmaster shiny colors
kyubey	4664	mahou shoujo madoka magica, mahou shoujo madoka magica (anime)
morrigan aensland	4650	darkstalkers
hakos baelz	4643	hololive, hololive english
kaku seiga	4634	touhou
miorine rembran	4633	gundam, gundam suisei no majo
yumemi riamu	4614	idolmaster, idolmaster cinderella girls, idolmaster cinderella girls starlight stage
power (chainsaw man)	4611	chainsaw man
akebono (kancolle)	4596	kantai collection
gloria (pokemon)	4594	pokemon, pokemon swsh
ceres fauna	4571	hololive, hololive english
rensouhou-chan	4557	kantai collection
gold ship (umamusume)	4554	umamusume
anchovy (girls und panzer)	4546	girls und panzer
anya (spy x family)	4525	spy x family
bremerton (azur lane)	4504	azur lane
ooyodo (kancolle)	4504	kantai collection
xiao (genshin impact)	4492	genshin impact
taihou (azur lane)	4491	azur lane
mirko	4484	boku no hero academia
watanabe you	4467	love live!, love live! sunshine!!
ereshkigal (fate)	4455	fate (series), fate/grand order
itsumi erika	4446	girls und panzer
okita souji (koha-ace)	4446	fate (series), fate/grand order, koha-ace
suzuran (arknights)	4446	arknights, luo xiaohei zhanji
la+ darknesss	4445	hololive
yamada ryo	4436	bocchi the rock!
tokai teio (umamusume)	4417	umamusume
murasaki shion	4416	hololive
kijin seija	4405	touhou
shoukaku (kancolle)	4404	kantai collection
mordred (fate/apocrypha)	4383	fate (series), fate/apocrypha, fate/grand order
tartaglia (genshin impact)	4379	genshin impact
d.va (overwatch)	4376	overwatch, overwatch 1
kanna (blue archive)	4368	blue archive
baobhan sith (fate)	4366	fate/grand order, fate (series)
toramaru shou	4357	touhou
asuna (sao)	4356	sword art online
takao (kancolle)	4339	kantai collection
oshino shinobu	4338	monogatari (series), bakemonogatari, kizumonogatari
sekibanki	4331	touhou
hoshii miki	4324	idolmaster, idolmaster (classic), idolmaster million live!
kitagawa marin	4296	sono bisque doll wa koi wo suru
tainaka ritsu	4286	k-on!
shirasaka koume	4274	idolmaster, idolmaster cinderella girls
saori (blue archive)	4262	blue archive
musashi (kancolle)	4248	kantai collection
marcille donato	4246	dungeon meshi
medusa (fate)	4246	fate (series), fate/stay night, fate/grand order
meltryllis (fate)	4231	fate (series), fate/grand order, fate/extra
bismarck (kancolle)	4219	kantai collection
nero claudius (fate/extra)	4218	fate (series), fate/extra, fate/grand order
mutsu (kancolle)	4214	kantai collection
mutsuki (blue archive)	4207	blue archive
formidable (azur lane)	4200	azur lane
kaban (kemono friends)	4188	kemono friends
nagae iku	4185	touhou
miyu (blue archive)	4179	blue archive
aki minoriko	4164	touhou
ro-500 (kancolle)	4160	kantai collection
iowa (kancolle)	4150	kantai collection
sparkle (honkai: star rail)	4146	honkai (series), honkai: star rail
atago (azur lane)	4142	azur lane
nakiri ayame	4141	hololive
shiranui flare	4125	hololive
miyako yoshika	4124	touhou
minami kotori	4102	love live!, love live! school idol project
midori (blue archive)	4098	blue archive
miyamoto musashi (fate)	4097	fate (series), fate/grand order
iono (pokemon)	4076	pokemon, pokemon sv
kurodani yamame	4067	touhou
hecatia lapislazuli	4062	touhou
uruha rushia	4057	hololive
kal'tsit (arknights)	4037	arknights
prinz eugen (azur lane)	4036	azur lane
sagisawa fumika	4028	idolmaster, idolmaster cinderella girls, idolmaster cinderella girls starlight stage
sukuna shinmyoumaru	4025	touhou
hoshimi miyabi	4024	zenless zone zero
ishtar (fate)	4001	fate (series), fate/grand order
denji (chainsaw man)	4000	chainsaw man
karyl (princess connect!)	3999	princess connect!
matou sakura	3989	fate (series), fate/stay night, heaven's feel
murasa minamitsu	3981	touhou
tsukino usagi	3950	bishoujo senshi sailor moon, bishoujo senshi sailor moon s, bishoujo senshi sailor moon (first season)
saber alter	3935	fate (series), fate/grand order, fate/stay night
shijou takane	3930	idolmaster, idolmaster (classic), idolmaster million live!
hasumi (blue archive)	3923	blue archive
wanderer (genshin impact)	3919	genshin impact
c.c.	3918	code geass
kirby	3916	kirby (series), super smash bros., mario (series)
fu hua	3912	honkai (series), honkai impact 3rd
takamachi nanoha	3899	lyrical nanoha, mahou shoujo lyrical nanoha strikers, mahou shoujo lyrical nanoha
arlecchino (genshin impact)	3891	genshin impact
usada pekora (1st costume)	3891	hololive
kasumi (kancolle)	3884	kantai collection
sendai (kancolle)	3884	kantai collection
silence suzuka (umamusume)	3876	umamusume
soga no tojiko	3868	touhou
djeeta (granblue fantasy)	3867	granblue fantasy
serena (pokemon)	3861	pokemon, pokemon xy, pokemon (anime)
northern ocean princess	3855	kantai collection
yelan (genshin impact)	3849	genshin impact
emiya shirou	3813	fate (series), fate/stay night, fate/grand order
sakura kyoko (magical girl)	3809	mahou shoujo madoka magica, mahou shoujo madoka magica (anime)
akiyama yukari	3782	girls und panzer
kitakami (kancolle)	3774	kantai collection
sangonomiya kokomi	3769	genshin impact
takagaki kaede	3764	idolmaster, idolmaster cinderella girls
shiranui mai	3758	fatal fury, the king of fighters, street fighter
caelus (honkai: star rail)	3756	honkai (series), honkai: star rail
senketsu	3753	kill la kill
kotobuki tsumugi	3742	k-on!
commander (azur lane)	3725	azur lane
corrin (fire emblem)	3716	fire emblem, fire emblem fates, fire emblem heroes
morgan le fay (fate)	3705	fate (series), fate/grand order
edelgard von hresvelg	3682	fire emblem, fire emblem: three houses
raiden mei	3679	honkai (series), honkai impact 3rd
takarada rikka	3665	gridman universe, ssss.gridman, gridman universe (film)
hestia (danmachi)	3661	dungeon ni deai wo motomeru no wa machigatteiru darou ka
shimamura uzuki	3661	idolmaster, idolmaster cinderella girls, idolmaster cinderella girls starlight stage
seia (blue archive)	3656	blue archive
sirius (azur lane)	3654	azur lane
lucina (fire emblem)	3647	fire emblem, fire emblem awakening, fire emblem heroes
selene (pokemon)	3643	pokemon, pokemon sm, pokemon usum
shiori novella	3630	hololive, hololive english
cammy white	3617	street fighter, street fighter 6, street fighter zero (series)
ui (blue archive)	3611	blue archive
nakano nino	3608	go-toubun no hanayome
nerissa ravencroft	3605	hololive, hololive english
tachibana arisu	3604	idolmaster, idolmaster cinderella girls, idolmaster cinderella girls u149
belfast (azur lane)	3601	azur lane
aki shizuha	3586	touhou
son goku	3585	dragon ball, dragon ball z, dragon ball super
kiryu coco	3584	hololive
jougasaki mika	3569	idolmaster, idolmaster cinderella girls, idolmaster cinderella girls starlight stage
shirakami fubuki (1st costume)	3552	hololive
satono diamond (umamusume)	3550	umamusume
