tag	count
original	891679
touhou	651387
kantai collection	394308
fate (series)	274983
blue archive	267247
hololive	224621
fate/grand order	216333
genshin impact	206690
idolmaster	193268
pokemon	181506
arknights	137838
azur lane	120985
umamusume	109315
vocaloid	103884
idolmaster cinderella girls	103442
honkai (series)	95473
hololive english	70629
fire emblem	70454
honkai: star rail	64010
love live!	62808
girls' frontline	58976
final fantasy	54967
girls und panzer	53652
nijisanji	49526
mahou shoujo madoka magica	43819
granblue fantasy	43265
kemono friends	37864
idolmaster shiny colors	36002
gundam	35790
indie virtual youtuber	35535
zenless zone zero	34376
mahou shoujo madoka magica (anime)	33599
honkai impact 3rd	30873
precure	30242
love live! school idol project	27984
idolmaster (classic)	26154
fate/stay night	25151
persona	24582
chainsaw man	23983
danganronpa (series)	23927
the legend of zelda	23124
boku no hero academia	22966
league of legends	22676
neon genesis evangelion	22553
princess connect!	22476
final fantasy xiv	22356
yu-gi-oh!	22069
bocchi the rock!	21436
one piece	20621
pokemon swsh	20463
fire emblem heroes	20445
fate/extra	19944
fire emblem: three houses	19546
xenoblade chronicles (series)	19435
idolmaster million live!	19177
street fighter	18626
pokemon sv	18578
splatoon (series)	18548
world witches series	18394
goddess of victory: nikke	18309
final fantasy vii	18157
mario (series)	17741
toaru majutsu no index	17370
k-on!	17341
project moon	16934
dragon ball	16242
love live! sunshine!!	16157
kono subarashii sekai ni shukufuku wo!	16130
fate/apocrypha	15948
guilty gear	15936
bang dream!	15659
re:zero kara hajimeru isekai seikatsu	15457
pokemon sm	15270
sousou no frieren	15238
xenoblade chronicles 2	14402
monogatari (series)	13842
overwatch	13492
sword art online	13446
voiceroid	13223
pokemon (anime)	13190
wuthering waves	12899
gochuumon wa usagi desu ka?	12644
toaru kagaku no railgun	12575
love live! nijigasaki high school idol club	12495
strike witches	12423
idolmaster cinderella girls starlight stage	12312
limbus company	12118
fire emblem fates	12092
nier (series)	12075
lyrical nanoha	11875
overwatch 1	11717
spy x family	11478
project sekai	11457
bishoujo senshi sailor moon	11255
fire emblem awakening	10933
neptune (series)	10908
nier:automata	10761
nijisanji en	10720
suzumiya haruhi no yuuutsu	10605
kill la kill	10544
the king of fighters	10402
go-toubun no hanayome	10368
mega man (series)	10367
persona 5	10237
marvel	10147
gakuen idolmaster	10130
bleach	10101
naruto (series)	10053
jujutsu kaisen	10046
pokemon dppt	10044
pokemon bw	10019
dragon quest	9849
kimetsu no yaiba	9669
dungeon meshi	9351
fate/kaleid liner prisma illya	9219
jojo no kimyou na bouken	9215
rwby	9131
senran kagura	9072
fate/extra ccc	9043
danganronpa 2: goodbye despair	9007
utau	8912
final fantasy vii remake	8794
rebuild of evangelion	8662
touhou (pc-98)	8447
darkstalkers	8422
code geass	8415
senki zesshou symphogear	8355
pokemon bw2	8322
monster hunter (series)	8246
sonic (series)	8241
gundam suisei no majo	8075
elden ring	8034
hololive indonesia	7655
guilty gear strive	7592
lucky star	7467
danganronpa v3: killing harmony	7418
bang dream! it's mygo!!!!!	7412
danganronpa: trigger happy havoc	7390
persona 3	7382
persona 4	7339
dragon ball z	7280
pokemon xy	7267
lycoris recoil	7226
tales of (series)	7209
onii-chan wa oshimai!	7201
atelier (series)	7127
higurashi no naku koro ni	7075
the legend of zelda: breath of the wild	7050
helltaker	6934
tsukihime	6920
last origin	6911
idolmaster million live! theater days	6909
fire emblem engage	6885
super smash bros.	6702
