tag	count
teeth	391147
tongue	320198
lips	113608
pink lips	24503
red lips	19246
purple lips	6462
long tongue	5283
colored tongue	4179
black lips	3951
blue lips	3313
forked tongue	2128
blue tongue	2057
buck teeth	1696
green lips	1651
uvula	1550
thick lips	1514
extra mouth	1359
purple tongue	1105
brown lips	868
very long tongue	699
glowing mouth	554
missing tooth	490
green tongue	420
grey lips	363
yellow teeth	345
black mouth	331
orange lips	294
yellow tongue	279
prehensile tongue	275
tooth gap	195
orange tongue	165
gold teeth	163
white lips	160
black tongue	143
extra teeth	133
single tooth	119
chipped tooth	111
disembodied tongue	104
