tag	count
breasts	3157499
pectorals	45931
breasts apart	43140
mole on breast	36870
hanging breasts	19139
hair over breasts	8786
bare pectorals	7247
bursting breasts	6122
sagging breasts	5901
pectoral cleavage	5305
unaligned breasts	4614
perky breasts	4030
strap between breasts	3987
veiny breasts	2905
pointy breasts	1485
breast milk	1220
hair between breasts	802
hair over one breast	734
blood on breasts	727
scar on breasts	414
male with breasts	341
asymmetrical breasts	249
extra breasts	178
breast implants	
featureless breasts	
natural breasts	
round breasts	
swollen breasts	
