tag	count	related
animal ears	1010004	
pointy ears	334900	
cat ears	233227	
rabbit ears	198998	
fox ears	134061	
horse ears	111107	
wolf ears	71866	
extra ears	54347	
dog ears	47960	
kemonomimi mode	25813	
mouse ears	20181	
cow ears	15895	
tiger ears	12037	
raccoon ears	11016	
ears through headwear	10091	
lion ears	8766	
floppy ears	8486	
bear ears	7722	
bird ears	5957	
ears down	5081	
long pointy ears	4626	
sheep ears	4341	
robot ears	4315	
squirrel ears	3761	
deer ears	3318	
jackal ears	3261	
notched ear	3046	
colored inner animal ears	2598	
goat ears	2574	
bat ears	2177	
mechanical ears	1765	
leopard ears	1733	
panther ears	1705	
jaguar ears	1646	
panda ears	1574	
weasel ears	1513	
monkey ears	1341	
owl ears	1187	
large ears	1173	
long earlobes	1054	
alpaca ears	1023	
lop rabbit ears	889	
pig ears	794	
implied extra ears	758	
snow leopard ears	696	
wing ears	638	
hyena ears	618	
dragon ears	617	
moose ears	524	
tapir ears	487	
mismatched animal ear colors	434	
very long ears	434	
komainu ears	429	
giraffe ears	379	
ox ears	374	
beaver ears	347	
ferret ears	343	
sea slug ears	274	
hamster ears	236	
fiery ears	226	
no animal ears	199	
anteater ears	196	
gazelle ears	155	
ears under headwear	150	
chipmunk ears	143	
ear tufts	143	
antelope ears	129	
alternate ears	119	
elephant ears	118	
rhinoceros ears	103	
