tag	count	related
halo	272639	
blue halo	28619	
pink halo	28579	
red halo	19138	
yellow halo	17868	
mechanical halo	14638	
black halo	7664	
green halo	7560	
grey halo	6913	
purple halo	4884	
star halo	3985	
white halo	2680	
broken halo	2377	
no halo	2281	
dark halo	2104	
traditional halo	1802	
spiked halo	1686	
aqua halo	1332	
halo behind head	1310	
rectangular halo	1002	
orange halo	975	
multicolored halo	912	
winged halo	746	
cross halo	727	
melting halo	703	
brown halo	621	
liquid halo	581	
fake halo	547	
heart halo	539	
blood halo	511	
double halo	468	
gradient halo	468	
distorted halo	454	
two-tone halo	327	
glowing halo	284	
crescent halo	262	
triangle halo	213	
multiple halos	146	
rathalos (armor)	129	
