tag	count	related
horns	393426	
demon horns	77890	
dragon horns	40450	
black horns	28315	
single horn	27039	
fake horns	21245	
antlers	16676	
mechanical halo	14638	
red horns	14603	
curled horns	14485	
cow horns	14476	
goat horns	10164	
sheep horns	8105	
multiple horns	7315	
white horns	5751	
brown horns	4586	
asymmetrical horns	4306	
small horns	4018	
grey horns	3413	
cone horns	3345	
mechanical horns	3167	
striped horns	3098	
yellow horns	3073	
multicolored horns	2915	
blue horns	2773	
uneven horns	2661	
broken horn	2591	
broken halo	2377	
purple horns	2330	
no halo	2281	
deer antlers	1992	
green horns	1359	
halo behind head	1310	
pink horns	1134	
gradient horns	999	
eastern dragon horns	987	
long horns	799	
glowing horns	738	
horn flower	726	
orange horns	713	
tree horns	664	
large horns	654	
huge horns	618	
two-tone horns	607	
forward facing horns	528	
mismatched horns	416	
ox horns	396	
aqua horns	340	
giraffe horns	339	
no horns	259	
gold horns	256	
detached horns	143	
spiked horns	114	
moose antlers	102	
