tag	count	related
tail	678547	
cat tail	133465	
fox tail	93367	
horse tail	63323	
rabbit tail	57504	
demon tail	53090	
multiple tails	44179	
wolf tail	37325	
fake tail	33029	
dragon tail	26958	
dog tail	26395	
tail ornament	19060	
fish tail	16056	
shark tail	13691	
mouse tail	12346	
tail raised	12263	
two tails	11318	
black tail	9093	
raccoon tail	8331	
tiger tail	7961	
cow tail	7082	
bird tail	5856	
anal tail	5553	
tail through clothes	4983	
lion tail	4570	
striped tail	3675	
white tail	3543	
squirrel tail	3517	
large tail	3363	
mechanical tail	3165	
monkey tail	3143	
snake tail	2821	
long tail	2717	
brown tail	2624	
purple tail	2384	
flame-tipped tail	2331	
ghost tail	2328	
pink tail	2056	
heart tail	1883	
spiked tail	1855	
lizard tail	1812	
blue tail	1804	
red tail	1759	
yellow tail	1700	
green tail	1624	
prehensile tail	1609	
no tail	1464	
cetacean tail	1414	
short tail	1407	
crocodilian tail	1363	
orange tail	1363	
tapir tail	1295	
leopard tail	1202	
cable tail	1179	
jaguar tail	1125	
panther tail	1120	
multicolored tail	979	
weasel tail	979	
deer tail	900	
bear tail	874	
eastern dragon tail	793	
fiery tail	726	
sheep tail	722	
forked tail	715	
snow leopard tail	704	
otter tail	601	
scorpion tail	572	
goat tail	563	
intertwined tails	553	
whale tail (clothing)	484	
penguin tail	441	
pokemon tail	438	
stiff tail	419	
alpaca tail	399	
two-tone tail	395	
sharp tail	378	
expressive tail	374	
dinosaur tail	358	
very long tail	342	
red panda tail	332	
pig tail	328	
jackal tail	280	
cheetah tail	262	
extra tails	226	
drawn tail	214	
chameleon tail	207	
beaver tail	201	
bandaged tail	195	
tasmanian devil tail	195	
giraffe tail	179	
ferret tail	175	
anteater tail	161	
glowing tail	161	
moose tail	158	
abdomen tail	154	
aqua tail	146	
curled tail	139	
crystal tail	127	
meerkat tail	126	
