tag	count
claws	35119
fins	26967
scales	15898
antennae	14435
head fins	9614
arthropod girl	5907
snout	5620
whiskers	4791
talons	3428
beak	3038
tusks	2376
hooves	2323
digitigrade	1810
arthropod limbs	1471
black scales	1236
gills	1152
white scales	991
carapace	798
red scales	773
arthropod boy	736
dorsal fin	626
shark fin	544
green scales	539
spines	515
blowhole	499
fake claws	436
blue scales	427
moth antennae	304
arm fins	155
yellow scales	123
grey scales	118
lekku (anatomy)	116
purple scales	111
snail shell	100
