tag	count	related
wings	341732	
head wings	54027	
feathered wings	52579	
bat wings	45822	
black wings	39089	
demon wings	37866	
white wings	29984	
angel wings	29491	
low wings	25058	
bird wings	15169	
fairy wings	15012	
ice wings	11561	
asymmetrical wings	8365	
detached wings	8215	
single wing	7510	
insect wings	7476	
red wings	6363	
dragon wings	6122	
blue wings	5881	
mini wings	5324	
multiple wings	5088	
butterfly wings	4898	
multicolored wings	4889	
purple wings	4734	
mechanical wings	4194	
energy wings	3535	
crystal wings	2463	
yellow wings	2035	
no wings	2004	
large wings	1778	
blue feathers	1771	
brown wings	1764	
transparent wings	1720	
green wings	1484	
grey wings	1351	
glowing wings	1254	
red feathers	1029	
gradient wings	1001	
alternate wings	787	
torn wings	773	
green feathers	743	
fiery wings	666	
two-tone wings	658	
peacock feathers	584	
brown feathers	581	
pink feathers	520	
yellow feathers	499	
purple feathers	433	
orange feathers	217	
leg wings	119	
rainbow wings	113	
