tag	count
blonde hair	1199644
black hair	1188777
brown hair	1147531
blue hair	676176
multicolored hair	603947
white hair	588991
grey hair	574323
pink hair	573399
purple hair	523624
red hair	413261
green hair	311713
streaked hair	224966
two-tone hair	206757
orange hair	184646
gradient hair	118910
aqua hair	90706
colored inner hair	75893
light brown hair	68610
light blue hair	25707
split-color hair	12554
colored tips	11873
alternate hair color	10419
dark blue hair	10099
roots (hair)	2488
official alternate hair color	1291
rainbow hair	1120
striped hair	773
red streaks	632
patterned hair	393
dyed ahoge	361
single hair streak	239
pink streaks	208
spotted hair	201
colored bangs	181
colored armpit hair	122
green streaks	107
dark green hair	
light purple hair	
raccoon tails	
