tag	count	related
hair between eyes	1025094	
sidelocks	545271	
blunt bangs	244931	
hair over one eye	206534	
parted bangs	155933	
hair intakes	108765	
swept bangs	100550	
crossed bangs	51313	
asymmetrical bangs	28367	
long bangs	23378	
hair over eyes	15980	
single sidelock	9392	
braided bangs	9257	
single hair intake	5009	
diagonal bangs	4825	
curtained hair	4361	
drill sidelocks	4212	
bangs pinned back	3418	
arched bangs	3335	
short bangs	2591	
choppy bangs	2134	
low-tied sidelocks	1864	
asymmetrical sidelocks	1404	
dyed bangs	1387	
wispy bangs	840	
fanged bangs	778	
sidelocks tied back	761	
widow's peak	416	
bangs		
