tag	count	related
twintails	721356	
braid	520847	
ponytail	480649	
hair bun	204024	
two side up	144124	
twin braids	142994	
side ponytail	142178	
single braid	107240	
double bun	103538	
low twintails	93940	
one side up	91615	
bob cut	74297	
high ponytail	64246	
single hair bun	56606	
short twintails	45125	
side braid	43653	
low-tied long hair	36083	
hair rings	33361	
half updo	30313	
short ponytail	26669	
asymmetrical hair	23901	
crown braid	20923	
hime cut	17839	
flipped hair	16468	
folded ponytail	16123	
cone hair bun	12186	
braided bun	10563	
half up braid	9808	
braided bangs	9257	
undercut	8674	
low twin braids	8660	
bow-shaped hair	7170	
low-braided long hair	6936	
topknot	6580	
front ponytail	5189	
quad tails	3750	
multi-tied hair	3621	
single hair ring	3015	
inverted bob	2705	
multiple braids	2253	
wolf cut	2072	
dreadlocks	2047	
tri tails	1897	
doughnut hair bun	1838	
afro	1592	
split ponytail	1494	
bowl cut	1421	
sidecut	1378	
pompadour	1353	
buzz cut	1050	
uneven twintails	894	
tri braids	812	
nihongami	638	
pixie cut	583	
quad braids	515	
shuangyaji	479	
beehive hairdo	472	
half up half down braid	427	
mullet	426	
cornrows	339	
heart hair bun	272	
katsuyamamage	241	
mizura	238	
flower-shaped hair	188	
flattop	148	
quiff	143	
front braid	120	
crew cut	102	
bantu knots		
chonmage		
crested hair		
feixianji		
french braid		
huge afro		
liangbatou		
okappa		
quin tails		
shouten pegasus mix mori		
star-shaped hair		
triple bun		
twisted hair		
