tag	count
nail polish	217408
black nails	68080
red nails	52897
toenails	49392
blue nails	44977
pink nails	44976
long fingernails	31645
toenail polish	25775
purple nails	24161
sharp fingernails	19896
green nails	13055
aqua nails	12269
yellow nails	7964
multicolored nails	7312
orange nails	4961
white nails	3667
nail art	2079
grey nails	1808
very long fingernails	1587
sharp toenails	1510
brown nails	1431
fake nails	1309
long toenails	823
gradient nails	610
gold nails	307
two-tone nails	286
silver nails	114
