tag	count
dark skin	233070
animal ear fluff	190173
dark-skinned female	160161
shiny skin	115104
skindentation	112638
colored skin	97509
dark-skinned male	61928
tan	51648
furry	46794
pale skin	39375
tanlines	29076
white skin	29068
furry female	28715
blue skin	19280
body fur	17689
furry male	16065
skin-covered horns	14409
green skin	14106
white fur	13611
grey skin	11524
multicolored skin	11123
deep skin	11112
one-piece tan	10101
red skin	9418
purple skin	8179
two-tone skin	8134
very dark skin	7776
black skin	6237
two-tone fur	6237
brown fur	5731
pink skin	5634
yellow fur	5392
black fur	5247
albino	5170
bodypaint	4378
hairy	3564
fur-trimmed hood	3505
cracked skin	3160
blue fur	3089
grey fur	2724
fluffy	2630
yellow skin	2547
pink fur	2502
multicolored fur	2470
red fur	2376
patchwork skin	2309
alternate skin color	2282
gradient skin	2241
orange fur	2160
neck fur	1860
purple fur	1819
green fur	1472
wrinkled skin	1408
orange skin	1402
metal skin	1120
shorts tan	743
striped fur	707
aqua skin	598
fur-tipped tail	550
fluff	361
very hairy	354
bioluminescence	262
glowing skin	229
striped skin	207
fluffy tail	182
light-skinned soles	182
light-skinned palms	174
spotted fur	163
accessory tan	125
starry skin	120
silver skin	102
glowing hot	100
