tag	count	related
multiple views	140215	
border	100180	
outside border	43067	
letterboxed	38047	
zoom layer	16963	
tachi-e	16207	
reference sheet	11240	
afterimage	8973	
viewfinder	5511	
pillarboxed	4209	
lineup	3528	
collage	3056	
variations	1832	
column lineup	1714	
projected inset	1680	
symmetry	1613	
chart	1473	
inset border	1415	
rotational symmetry	1393	
ornate border	1196	
stats	798	
rounded corners	786	
negative space	677	
diagram	401	
cut-in	392	
bust chart	388	
fading border	380	
split crop	318	
polar opposites	260	
relationship graph	171	
trim marks	152	
omake	127	
character chart		
fake scrollbar		
move chart		
seating chart		
social media composition		
