tag	count
solo focus	314253
male focus	280627
ass focus	26313
foot focus	23483
hip focus	13453
animal focus	10069
vehicle focus	8457
other focus	7956
text focus	7016
mecha focus	3626
food focus	3101
breast focus	2189
eye focus	2004
back focus	1897
crotch focus	1144
reflection focus	1082
armpit focus	982
hand focus	847
pokemon focus	710
weapon focus	697
monster focus	551
pectoral focus	502
navel focus	490
thigh focus	399
object focus	375
book focus	246
soft focus	208
leg focus	207
cloud focus	202
mouth focus	179
creature focus	109
penis focus	
plant focus	
wind chime focus	
