tag	count	related
pov	116832	
border	100180	
outside border	43067	
letterboxed	38047	
out of frame	27918	
head out of frame	17964	
zoom layer	16963	
tachi-e	16207	
reference sheet	11240	
out-of-frame censoring	10738	
afterimage	8973	
viewfinder	5511	
pillarboxed	4209	
glitch	3534	
lineup	3528	
collage	3056	
partially underwater shot	1992	
column lineup	1714	
projected inset	1680	
symmetry	1613	
chart	1473	
inset border	1415	
rotational symmetry	1393	
ornate border	1196	
from outside	1126	
knees out of frame	1058	
stats	798	
rounded corners	786	
isometric	723	
negative space	677	
diagram	401	
bust chart	388	
fading border	380	
polar opposites	260	
relationship graph	171	
trim marks	152	
omake	127	
character chart		
fake scrollbar		
feet out of frame / foot out of frame		
mosaic art		
move chart		
photomosaic		
seating chart		
social media composition		
