tag	count	related
bag	175196	
backpack	54538	
pouch	30496	
school bag	25994	
shoulder bag	24903	
handbag	21885	
holding bag	18695	
holster	13659	
belt pouch	10521	
thigh holster	6948	
black bag	6852	
brown bag	5778	
holding box	5302	
thigh pouch	3633	
holding basket	3448	
holding clipboard	3319	
red bag	3026	
holding sack	3010	
pink bag	2973	
duffel bag	2905	
white bag	2769	
blue bag	2737	
yellow bag	2365	
satchel	2279	
unworn bag	1743	
animal bag	1692	
green bag	1585	
grocery bag	1106	
unworn backpack	1066	
messenger bag	999	
holding carton	761	
cat bag	621	
purple bag	580	
coin purse	552	
kindergarten bag	469	
backpack basket	386	
tote bag	383	
belt bag	359	
in bag	357	
open bag	330	
heart-shaped bag	329	
orange bag	261	
bear bag	227	
insulated delivery bag	219	
transparent bag	199	
winged bag	162	
round bag	143	
rabbit bag	135	
leg holster	115	
drawstring bag	113	
ankle holster		
arm holster		
back holster		
