tag	count	related
jewelry	864539	
earrings	458252	
bracelet	159920	
ring	69156	
gem	52099	
brooch	44025	
single earring	35821	
beads	32589	
star earrings	11925	
heart earrings	10550	
bead bracelet	10299	
spiked bracelet	9521	
floating earring	9139	
multiple rings	9099	
tassel earrings	8864	
cross earrings	7583	
gold earrings	6262	
heart brooch	5219	
multiple earrings	4566	
o-ring thigh strap	4244	
flower earrings	4077	
gold bracelet	3847	
sphere earrings	3620	
feather earrings	3611	
soul gem	3458	
crescent earrings	3288	
thumb ring	2986	
triangle earrings	2532	
bow earrings	2512	
skull earrings	2500	
pearl earrings	2451	
blue brooch	2381	
pearl (gemstone)	2238	
prayer beads	2101	
pearl bracelet	1859	
star brooch	1610	
tail ring	1539	
nipple jewelry	1481	
food-themed earrings	1427	
horn ring	1384	
toe ring	1365	
heart pendant	1278	
pill earrings	1276	
flower brooch	1195	
teardrop earrings	1145	
flower bracelet	1139	
ornate ring	1126	
crystal earrings	1123	
potara earrings	1114	
holding jewelry	1106	
wing brooch	1074	
studded bracelet	1061	
red brooch	1010	
nose ring	886	
snake earrings	819	
pom pom earrings	795	
magatama earrings	787	
heart-shaped gem	724	
diamond earrings	690	
gold ring	677	
o-ring harness	673	
key earrings	671	
mismatched earrings	664	
butterfly earrings	661	
pendant watch	650	
unworn jewelry	640	
tooth earrings	611	
holding gem	608	
green brooch	591	
captive bead ring	585	
ribbon earrings	576	
lipstick ring	556	
anchor earrings	549	
butterfly brooch	489	
bell earrings	488	
holding pocket watch	485	
pon de ring	479	
rectangular earrings	425	
clitoris ring	423	
shell earrings	420	
pinky ring	395	
symphogear pendant	366	
purple brooch	349	
skull brooch	340	
transformation brooch (sailor moon)	330	
putting on jewelry	317	
ring box	315	
body jewelry	313	
middle ring	299	
jack-o'-lantern earrings	296	
sun earrings	295	
rabbit earrings	286	
star bracelet	277	
pussy jewelry	276	
leaf earrings	273	
pendant earring	254	
snowflake earrings	247	
glowing earrings	246	
chain earrings	241	
fur bracelet	240	
cherry earrings	226	
cat earrings	213	
pink brooch	209	
lightning bolt earrings	208	
o-ring legwear	207	
mega ring	201	
hanafuda earrings	199	
jingle bell earrings	195	
spade earrings	195	
silver earrings	183	
clover earrings	175	
chain bracelet	174	
urethral beads	172	
yellow brooch	169	
frilled bracelet	165	
bullet earrings	163	
strawberry earrings	162	
lemon earrings	158	
elden ring (object)	154	
no earrings	153	
ghost earrings	148	
bat earrings	143	
inverted cross earrings	141	
silver bracelet	140	
glowing gem	133	
planet earrings	133	
waist brooch	130	
snowflake pendant	128	
cross pendant	127	
flower ring	125	
bat brooch	124	
yin yang earrings	124	
butterfly ring	114	
unworn earring	114	
lantern earrings	112	
thigh beads	102	
dangle earrings		
drop earrings		
pentacle earring		
