tag	count
clothing cutout	143186
cleavage cutout	77290
navel cutout	13524
heart cutout	8869
back cutout	6390
underboob cutout	5524
side cutout	5413
cat cutout	5397
stomach cutout	4195
keyhole	3114
cutout above navel	2424
thigh cutout	2230
diamond cutout	2108
armpit cutout	1752
ass cutout	1718
breast cutout	1697
crotch cutout	1423
nipple cutout	853
cross-laced cutout	747
pussy cutout	528
leg cutout	474
character cutout	281
circle cutout	256
anus cutout	244
sideboob cutout	166
animal cutout	134
cutout below navel	126
elbow cutout	124
cross cutout	122
knee cutout	100
