tag	count	related
long sleeves	1250530	
short sleeves	494991	
frills	423188	
puffy sleeves	283318	
puffy short sleeves	142767	
sleeves past wrists	135797	
fur trim	132015	
frilled sleeves	63059	
juliet sleeves	53492	
puffy long sleeves	49881	
lace trim	46455	
ribbon trim	46193	
o-ring	43337	
white sleeves	42823	
sleeves past fingers	40698	
gold trim	38821	
pom pom (clothes)	38404	
clothes writing	37866	
buckle	36779	
black sleeves	29874	
pocket	29374	
ribbon-trimmed sleeves	27387	
belt buckle	24929	
center frills	20680	
double-breasted	19145	
drawstring	18868	
name tag	16374	
zipper pull tab	16123	
arm strap	15639	
layered sleeves	15186	
emblem	15020	
breast pocket	14567	
partially unbuttoned	13726	
frilled bow	13572	
strap gap	13389	
fur-trimmed sleeves	10363	
strap	10189	
short over long sleeves	9749	
button gap	7785	
fringe trim	7239	
blue sleeves	6990	
asymmetrical sleeves	6864	
sleeves past elbows	6675	
red sleeves	6196	
covered collarbone	6091	
single sleeve	5504	
single detached sleeve	5501	
purple sleeves	4816	
diamond button	4772	
notched lapels	4347	
panty straps	3955	
puffy detached sleeves	3893	
chinese knot	3672	
green sleeves	3648	
frilled ribbon	3468	
neon trim	3423	
very long sleeves	3409	
pink sleeves	3207	
chest strap	2878	
uneven sleeves	2795	
dress flower	2758	
feather-trimmed sleeves	2623	
heart button	2620	
striped sleeves	2494	
red trim	2430	
grey sleeves	2408	
sleeve bow	2363	
shoulder strap	2243	
lace-trimmed sleeves	2210	
school emblem	2167	
snap-fit buckle	2120	
full-length zipper	1875	
single strap	1830	
ribbon-trimmed clothes	1827	
mismatched sleeves	1710	
yellow sleeves	1678	
ribbed sleeves	1578	
sleeve ribbon	1435	
cross-laced sleeves	1426	
single wrist cuff	1400	
exposed pocket	1375	
brown sleeves	1367	
silver trim	1308	
white trim	1291	
puff and slash sleeves	1133	
orange sleeves	1124	
food-themed clothes	1117	
blue trim	1067	
popped button	1061	
print sleeves	1061	
chin strap	1050	
st. gloriana's (emblem)	1040	
crotch zipper	1007	
yellow trim	895	
gathers	872	
fishnet sleeves	839	
lace sleeves	832	
falchion (fire emblem)	793	
aqua trim	773	
breast strap	736	
pink trim	720	
flying button	685	
object in pocket	676	
frilled straps	651	
heart-shaped buckle	634	
wrist straps	599	
collared shrug	543	
criss-cross straps	541	
breast zipper	540	
black trim	503	
elbow sleeve	464	
flower trim	459	
gradient sleeves	453	
black straps	449	
pravda (emblem)	449	
criss-cross back-straps	441	
pleated sleeves	412	
aqua sleeves	410	
frilled babydoll	409	
furisode sleeves	407	
sleeve rolled up	407	
front zipper	406	
toe seam	403	
plaid sleeves	402	
tied sleeves	388	
green trim	376	
purple trim	371	
vertical-striped sleeves	362	
orange trim	341	
strap break	341	
single wide sleeve	338	
buckler	337	
two-tone sleeves	330	
ribbon-trimmed bow	327	
cuffed	326	
no detached sleeves	316	
fur-trimmed mittens	314	
push-button	312	
no emblem	305	
character-themed food	287	
animal-themed food	285	
anzio (emblem)	283	
bell sleeves	280	
frilled bonnet	280	
up sleeve	279	
knee strap	277	
single handcuff	266	
o-ring strap	265	
keizoku (emblem)	255	
lace-trimmed ribbon	255	
fur sleeves	254	
food-themed ornament	239	
multicolored sleeves	238	
compression sleeve	228	
white chemise	217	
lace-trimmed bow	215	
multicolored buttons	214	
crotch strap	212	
leather strap	210	
frilled nightgown	209	
chemistry	208	
lace-trimmed eyepatch	208	
euphemism	207	
gloved sleeves	203	
gold buttons	201	
food-themed creature	200	
alternate sleeve length	198	
single sleeve past fingers	198	
lace-up sleeves	184	
play button	182	
frilled corset	179	
trim brush	179	
oversized zipper	174	
handcuff dangle	161	
seams	157	
frilled pajamas	153	
unbuttoned sleeves	152	
frilled innertube	148	
pocket square	140	
aymr (fire emblem)	135	
peaked lapels	135	
food-themed pillow	134	
carrot in pocket	133	
cow print sleeves	133	
laguz (fire emblem)	133	
floral print sleeves	128	
spiked	123	
in pocket	122	
sleeve tied shut	122	
single sleeve past wrist	121	
studded	120	
yato (fire emblem)	118	
gold buckle	116	
chi-hatan (emblem)	115	
paw sleeves	115	
two-sided sleeves	114	
broken handcuffs	108	
polka dot sleeves	105	
trimmed tail	105	
guitar strap	104	
lace-trimmed babydoll	102	
black chemise	101	
nipple sleeves	101	
armored		
frilled		
pom pom		
shiny		
sparkling		
