tag	count	related
floral print	75519	
polka dot	49058	
cow print	17235	
star print	12369	
tiger print	9043	
camouflage	8189	
pinstripe pattern	8052	
rainbow	6904	
leopard print	4391	
tiger stripes	1296	
multicolored stripes	643	
triangle print	567	
colored stripes	553	
zebra print	434	
watermelon print	326	
aqua		
argyle		
beige		
black		
blue		
brown		
checkered		
diagonal stripes		
green		
grey		
honeycomb		
orange		
pink		
plaid		
prismatic		
purple		
red		
striped		
two-tone		
vertical stripes		
white		
wisteria print		
yellow		
