tag	count	related
dress	1052374	
sleeveless dress	131626	
short dress	80628	
frilled dress	78340	
china dress	50954	
strapless dress	46151	
side slit	38282	
off-shoulder dress	23988	
long dress	23651	
wedding dress	19190	
pleated dress	15894	
sundress	13887	
backless dress	13835	
layered dress	12248	
sweater dress	8933	
halter dress	8061	
nightgown	7051	
santa dress	4666	
evening gown	4033	
negligee	2840	
pencil dress	2739	
gown	2389	
dirndl	2078	
tube dress	1452	
fishnets dress		
flowing dress		
half-dress		
tennis dress		
trapeze dress		
vietnamese dress		
