tag	count	related
swimsuit	603931	
bikini	464629	
one-piece swimsuit	121989	
halterneck	96512	
side-tie bikini bottom	91192	
school swimsuit	52716	
string bikini	46927	
micro bikini	41819	
frilled bikini	35675	
competition swimsuit	28955	
front-tie bikini top	23668	
criss-cross halter	22591	
highleg bikini	15170	
sarong	13292	
o-ring bikini	11631	
slingshot swimsuit	9721	
thong bikini	6670	
lowleg bikini	4920	
maid bikini	4756	
eyepatch bikini	4625	
multi-strapped bikini bottom	4439	
layered bikini	4189	
sailor bikini	3561	
american flag bikini	3331	
swim trunks	3102	
sports bikini	2352	
tankini	1846	
swim briefs	1468	
multi-strapped bikini top	1126	
sling bikini top	1047	
bikini shorts	917	
rash guard	898	
kesa	861	
lace-trimmed bikini	437	
leaf bikini	315	
bow swimsuit	181	
jammers	116	
frilled swimsuit		
highleg swimsuit		
italian flag bikini		
legskin		
venus bikini		
