tag	count	related
japanese clothes	286888	
kimono	181963	
chinese clothes	86868	
china dress	50954	
hakama	36528	
hakama skirt	28125	
nontraditional miko	21298	
yukata	19279	
miko	15690	
habit	15511	
tabi	14979	
short kimono	11993	
haori	11876	
hakama short skirt	9822	
open kimono	9536	
tasuki	8702	
fundoshi	7731	
sleeveless kimono	5560	
hanfu	4617	
furisode	3994	
korean clothes	2308	
dirndl	2078	
tangzhuang	1935	
hakama pants	1660	
happi	1389	
kimono skirt	1288	
hanbok	1209	
uchikake	1142	
layered kimono	1027	
hakama shorts	958	
ao dai	911	
mizu happi	787	
karate gi	677	
right-over-left kimono	526	
short yukata	498	
changpao	468	
chanchanko		
dotera		
fengguan		
hanten		
longpao		
miao clothes		
mino boushi		
qipao		
straw cape		
