tag	count	related
school uniform	566348	
serafuku	231466	
maid	121616	
military uniform	68455	
school swimsuit	52716	
suit	44871	
gym uniform	27614	
sailor dress	23137	
waitress	10532	
naval uniform	8344	
police uniform	8098	
gakuran	7175	
maid bikini	4756	
business suit	4474	
skirt suit	3655	
sailor	2999	
meiji schoolgirl uniform	2755	
pant suit	2469	
tennis uniform	2371	
tuxedo	2021	
volleyball uniform	1915	
baseball uniform	1630	
soccer uniform	1594	
basketball uniform	1089	
track uniform	967	
fast food uniform	736	
band uniform	685	
maid leotard	299	
american football uniform	150	
army uniform		
cheerleader uniform		
chef uniform		
formal		
hooters uniform		
maid one-piece swimsuit		
maid uniform		
nun uniform		
nurse uniform		
royal navy uniform		
rugby uniform		
sailor uniform		
shosei		
thai college uniform		
waitress uniform		
