tag	count
skirt	1273613
pleated skirt	423601
shorts	367026
pants	285685
black skirt	277743
miniskirt	227678
blue skirt	150107
short shorts	130056
black shorts	109551
black pants	99421
red skirt	97171
white skirt	79453
plaid skirt	78073
frilled skirt	63732
green skirt	52047
pelvic curtain	48006
grey skirt	44669
bike shorts	40658
skirt set	39241
blue shorts	36552
pencil skirt	35701
high-waist skirt	35507
pink skirt	34898
denim shorts	30367
purple skirt	30030
white shorts	29828
long skirt	28259
hakama skirt	28125
brown skirt	27610
white pants	27046
buruma	26738
blue pants	22527
jeans	21917
suspender skirt	18418
microskirt	18306
bloomers	17993
petticoat	16083
grey pants	15073
red shorts	13004
micro shorts	12028
layered skirt	11878
brown pants	11819
grey shorts	10851
red pants	10351
cutoffs	10291
yellow skirt	10032
hakama short skirt	9822
brown shorts	9318
dolphin shorts	9198
green shorts	8883
showgirl skirt	8252
unworn skirt	8207
shorts under skirt	8144
orange skirt	7998
green pants	7136
white bloomers	7074
blue buruma	6737
torn pants	6679
red buruma	6271
high-waist shorts	5900
medium skirt	5900
tight pants	5871
loincloth	5776
striped skirt	5767
print skirt	5581
high-waist pants	5383
yellow shorts	5382
pink shorts	5229
baggy pants	5116
gym shorts	5066
track pants	5044
two-tone skirt	4959
multicolored skirt	4696
bubble skirt	4664
yoga pants	4547
torn skirt	4410
bike shorts under skirt	4318
aqua skirt	4266
checkered skirt	3831
purple shorts	3780
black leggings	3766
purple pants	3634
overskirt	3435
open shorts	3429
torn shorts	3379
see-through skirt	3330
suspender shorts	3310
orange shorts	3256
denim skirt	3232
pink pants	3218
ribbon-trimmed skirt	3049
capri pants	2695
black buruma	2640
vertical-striped skirt	2509
striped pants	2453
fur-trimmed skirt	2359
sweatpants	2266
puffy shorts	2247
chaps	2232
frilled shorts	2129
open pants	2120
striped shorts	1974
orange pants	1833
circle skirt	1810
harem pants	1719
puffy pants	1697
fur-trimmed shorts	1669
hakama pants	1660
lace-trimmed skirt	1648
torn jeans	1648
yellow pants	1601
overall shorts	1581
plaid pants	1534
camouflage pants	1362
kimono skirt	1288
pants rolled up	1275
print shorts	1247
bow skirt	1246
high-low skirt	1227
lowleg pants	1214
shorts around one leg	1164
leather pants	1154
white sarong	1145
half-skirt	1109
pants tucked in	1092
pants under skirt	1083
bike shorts under shorts	1074
polka dot skirt	1060
blue sarong	1012
pelvic curtain lift	1007
side slit shorts	1005
two-sided skirt	998
buruma aside	949
unworn shorts	921
skirt basket	916
lowleg skirt	899
cargo pants	874
see-through sarong	806
detached leggings	803
cross-laced skirt	798
white leggings	795
overall skirt	785
vertical-striped shorts	785
wet skirt	775
vertical-striped pants	762
torn bike shorts	728
aqua shorts	712
side-tie skirt	661
belt skirt	649
plaid shorts	642
pants around one leg	611
zipper skirt	595
asymmetrical pants	587
unworn pants	587
lowleg shorts	584
black sarong	565
gradient skirt	564
leggings under shorts	526
print pants	520
two-tone pants	510
pink sarong	504
purple sarong	483
detached pants	482
pinstripe skirt	462
red sarong	454
armored skirt	446
convenient skirt	437
crotchless pants	436
two-tone shorts	435
bell-bottoms	430
green buruma	418
multicolored pants	392
pinstripe pants	391
cutoff jeans	387
naked skirt	380
shorts under shorts	375
camouflage skirt	374
multicolored shorts	373
aqua pants	372
green sarong	330
backless pants	325
leather skirt	319
black bloomers	318
purple buruma	302
cross-laced shorts	301
cargo shorts	288
pink buruma	284
buruma around one leg	282
camouflage shorts	278
torn leggings	272
blue leggings	267
sarong lift	250
taut skirt	248
pink leggings	236
see-through skirt layer	236
hoop skirt	232
yellow sarong	230
wet shorts	219
pleated shorts	216
leather shorts	205
skirt cutout	205
pink bloomers	202
orange sarong	201
purple leggings	193
diagonal-striped skirt	192
floral print skirt	187
boxing shorts	178
bloomers around one leg	173
polka dot shorts	171
aqua sarong	166
buruma under skirt	165
rainbow skirt	159
striped bike shorts	155
american flag pants	151
pants under shorts	150
latex pants	149
unworn sarong	147
argyle skirt	146
red leggings	146
white loincloth	144
see-through shorts	141
highleg buruma	139
asymmetrical skirt	137
grey leggings	137
latex skirt	137
adjusting shorts	134
see-through pants	134
orange buruma	128
frilled pants	123
belted skirt	122
gingham skirt	122
baggy shorts	121
white buruma	121
bow bloomers	119
flower skirt	119
fur skirt	119
side-tie shorts	116
loincloth lift	111
grass skirt	109
lace-trimmed shorts	109
cross-laced pants	108
wet pants	108
adjusting skirt	107
brown leggings	107
skinny jeans	107
taut shorts	107
pleated pants	105
tied skirt	103
fishnet skirt	
kilt	
sweatpant	
