tag	count	related
bandages	70812	
white apron	63436	
bandaid	49026	
towel	47943	
waist apron	41231	
cloak	36698	
frilled apron	36494	
bandaged arm	24820	
pasties	22792	
red cape	19433	
black cape	19100	
bandaid on face	18297	
white capelet	16640	
bandaged leg	13261	
white cape	13109	
blue cape	11187	
bandaid on leg	11089	
black capelet	10277	
red capelet	9714	
wardrobe malfunction	8482	
fur-trimmed capelet	8474	
hooded cloak	8437	
fur-trimmed cape	7375	
bandaid on nose	6469	
bandaid on knee	6304	
waist cape	6294	
black cloak	6169	
blue capelet	6061	
bandaged hand	5690	
white robe	5318	
bandaids on nipples	4845	
green cape	4780	
hooded capelet	4580	
bandaid on cheek	4383	
black robe	4376	
white cloak	3734	
two-sided cape	3710	
pink apron	3554	
black apron	3514	
purple cape	3505	
red cloak	3360	
bandaged head	3348	
beach towel	3321	
bandaid on arm	3300	
blue apron	3299	
hooded cape	3139	
brown capelet	2899	
bandaid hair ornament	2884	
crossed bandaids	2881	
torn cape	2859	
frilled capelet	2784	
bandaged neck	2417	
fur-trimmed cloak	2393	
green apron	2263	
purple capelet	2219	
brown cape	2152	
brown cloak	2134	
blue cloak	2021	
collared cape	1997	
bandaid on hand	1932	
blue robe	1873	
hooded robe	1778	
red apron	1777	
green capelet	1752	
brown apron	1676	
yellow apron	1638	
pink capelet	1587	
grey capelet	1517	
two-tone cape	1506	
floating cape	1392	
yellow cape	1372	
pink cape	1261	
grey cape	1243	
fur cloak	1204	
bandaged chest	1184	
multicolored cape	1155	
bandaid on forehead	1153	
green cloak	1141	
blue shawl	1126	
wet towel	1119	
white shawl	915	
grey apron	892	
orange cape	878	
red robe	878	
two-sided cloak	823	
fur shawl	799	
collared capelet	777	
bandaid on neck	762	
blood on bandages	744	
bandaid on head	742	
torn cloak	729	
grey cloak	720	
purple robe	708	
red shawl	703	
sophist's robe (ff14)	690	
purple cloak	687	
purple apron	660	
brown shawl	651	
orange apron	594	
bandaid on shoulder	566	
ribbon-trimmed capelet	543	
frilled shawl	528	
brown robe	526	
yellow cloak	454	
royal robe	434	
see-through shawl	428	
grey robe	419	
fur capelet	408	
unworn cape	398	
green robe	393	
black shawl	372	
multicolored capelet	372	
lace-trimmed apron	362	
bandaid on stomach	355	
gingham apron	341	
yellow capelet	338	
no cape	326	
open cloak	310	
santa capelet	301	
pink robe	295	
aqua cape	287	
purple shawl	280	
pink shawl	278	
orange capelet	275	
yellow shawl	269	
two-tone capelet	255	
wing cape	249	
ribbon-trimmed apron	218	
torn capelet	214	
pink cloak	210	
impossible towel	209	
detached cape	201	
multicolored cloak	200	
grey shawl	198	
bandaid on foot	191	
two-tone cloak	189	
lace-trimmed capelet	182	
towel on legs	178	
bandaged torso	175	
yellow robe	174	
spiked cape	163	
two-sided capelet	162	
bandaid on breast	156	
collared cloak	154	
heart apron	151	
fur-trimmed robe	148	
bandaid on ass	147	
see-through cape	140	
green shawl	139	
aqua apron	132	
bandaid on ear	127	
unworn cloak	127	
unworn apron	125	
torn apron	124	
towel on arm	124	
gradient cape	122	
aqua capelet	121	
bandaid on horn	120	
padded cloak	120	
layered capelet	105	
see-through apron	105	
torn robe	100	
bandaid on tail		
bandaid on wrist		
too many bandaids		
