tag	count	related
dress	1052374	
white dress	238271	
black dress	216567	
sleeveless dress	131626	
blue dress	100100	
short dress	80628	
red dress	79908	
frilled dress	78340	
china dress	50954	
pink dress	47790	
strapless dress	46151	
purple dress	42049	
side slit	38282	
green dress	30758	
off-shoulder dress	23988	
long dress	23651	
collared dress	23447	
wedding dress	19190	
pinafore dress	17964	
grey dress	17096	
brown dress	16307	
two-tone dress	15896	
pleated dress	15894	
sundress	13887	
backless dress	13835	
layered dress	12248	
yellow dress	11979	
striped dress	10341	
fur-trimmed dress	8992	
sweater dress	8933	
multicolored dress	8283	
halter dress	8061	
print dress	7737	
nightgown	7051	
dress bow	6772	
torn dress	5984	
orange dress	5701	
see-through dress	4907	
vertical-striped dress	4817	
santa dress	4666	
plaid dress	4378	
medium dress	4325	
evening gown	4033	
aqua dress	3931	
open dress	3766	
american flag dress	3424	
ribbed dress	3405	
turtleneck dress	3352	
lace-trimmed dress	3214	
negligee	2840	
pencil dress	2739	
impossible dress	2550	
taut dress	2453	
gown	2389	
dirndl	2078	
gradient dress	2005	
polka dot dress	1987	
cross-laced dress	1984	
cocktail dress	1767	
shorts under dress	1742	
ribbon-trimmed dress	1584	
tight dress	1577	
sideless dress	1483	
tube dress	1452	
two-sided dress	1441	
unworn dress	1398	
wet dress	1301	
coat dress	1022	
hooded dress	1020	
dress pants	844	
silver dress	819	
checkered dress	802	
hospital gown	790	
pinstripe dress	765	
dongtan dress	756	
single-shoulder dress	736	
floral print dress	665	
skirt under dress	631	
zipper dress	568	
side-tie dress	563	
shirt under dress	494	
funeral dress	489	
pants under dress	461	
feather dress	439	
dress ribbon	373	
glitter dress	372	
latex dress	351	
sleeveless turtleneck dress	344	
dress aside	318	
asymmetrical dress	299	
o-ring dress	296	
highleg dress	278	
figure skating dress	272	
gold dress	238	
argyle dress	227	
black gothic dress (idolmaster)	222	
see-through dress layer	209	
blood on dress	187	
flamenco dress	182	
high-low dress	166	
lace dress	159	
puffy dress	157	
tied dress	157	
satin dress	156	
feather-trimmed dress	155	
flower-trimmed dress	153	
nontraditional wedding dress	147	
floral dress	142	
modakawa dress	139	
mermaid dress	138	
hobble dress	130	
embroidered dress	114	
mexican dress	113	
dress straps	102	
unbuttoned dress	100	
fishnets dress		
flowing dress		
half-dress		
tennis dress		
trapeze dress		
vietnamese dress		
