tag	count	related
shirt	1448937	
jacket	729208	
white shirt	715876	
collared shirt	344961	
open jacket	192932	
black jacket	191008	
crop top	175849	
coat	169134	
black shirt	166731	
sweater	163612	
vest	153408	
cape	148991	
sleeveless shirt	128101	
sash	112615	
open shirt	99411	
dress shirt	99213	
hoodie	97220	
halterneck	96512	
white jacket	93147	
capelet	92466	
turtleneck	91457	
blue shirt	77525	
blue jacket	76298	
cardigan	67545	
tank top	63634	
red shirt	54276	
blazer	52857	
grey shirt	49753	
t-shirt	48984	
hooded jacket	45275	
red jacket	44847	
black coat	43124	
cropped jacket	42489	
camisole	40934	
front-tie top	39520	
corset	37863	
open coat	36994	
blouse	36684	
pink shirt	34359	
black vest	33767	
frilled shirt collar	33750	
ribbed sweater	32210	
track jacket	31868	
yellow shirt	31774	
white coat	30604	
grey jacket	29372	
sweater vest	29366	
green jacket	29031	
turtleneck sweater	28573	
brown jacket	27825	
shirt tucked in	27251	
purple shirt	24157	
pink jacket	23744	
shrug (clothing)	23374	
green shirt	23292	
criss-cross halter	22591	
striped shirt	22459	
sarashi	22142	
white sweater	21787	
fur-trimmed jacket	21096	
off-shoulder shirt	21093	
cropped shirt	19883	
red vest	19429	
tabard	19390	
underbust	19074	
bandeau	18945	
frilled shirt	18875	
lab coat	18414	
jacket on shoulders	18135	
black sweater	18066	
yellow jacket	18011	
tube top	17099	
brown shirt	17057	
sailor shirt	16602	
wet shirt	15004	
black hoodie	14616	
purple jacket	14393	
open cardigan	14380	
blue vest	13781	
tied shirt	13350	
white tank top	13232	
fur-trimmed coat	13065	
print shirt	12887	
brown coat	12217	
black tank top	11713	
multicolored jacket	11696	
sleeveless turtleneck	11328	
white hoodie	11290	
crop top overhang	10981	
o-ring top	10702	
brown sweater	10670	
brown cardigan	10422	
gym shirt	10417	
see-through shirt	10231	
red coat	10098	
grey sweater	9980	
white camisole	9870	
orange shirt	9613	
green vest	9540	
raglan sleeves	9533	
coat on shoulders	9532	
pink sweater	9487	
red sweater	9444	
blue coat	9326	
blue sweater	9305	
off-shoulder sweater	9248	
torn shirt	8733	
blue hoodie	8641	
chest sarashi	8136	
collared jacket	8009	
undershirt	7968	
hooded coat	7656	
sleeveless jacket	7578	
open vest	7535	
two-tone jacket	7344	
two-tone shirt	7181	
tunic	6779	
open hoodie	6778	
yellow sweater	6765	
brown vest	6751	
pink cardigan	6674	
military jacket	6634	
grey cardigan	6305	
vertical-striped shirt	6227	
plaid shirt	6173	
suit jacket	6153	
orange jacket	5946	
jacket partially removed	5914	
grey coat	5752	
grey hoodie	5692	
black camisole	5632	
unworn jacket	5626	
white vest	5599	
grey vest	5539	
unbuttoned shirt	5319	
leather jacket	5140	
winter coat	5086	
long coat	4967	
jacket around waist	4879	
yellow cardigan	4827	
ribbed shirt	4823	
green sweater	4710	
impossible shirt	4691	
virgin killer sweater	4679	
bustier	4641	
striped jacket	4600	
purple vest	4535	
two-sided jacket	4392	
sleeveless sweater	4339	
blue cardigan	4267	
aran sweater	4262	
aqua shirt	4218	
black cardigan	4155	
white cardigan	4068	
brown sweater vest	3929	
strapless shirt	3907	
green coat	3620	
trench coat	3604	
naked sweater	3482	
waistcoat	3482	
pink hoodie	3460	
oversized shirt	3453	
unworn shirt	3444	
letterman jacket	3366	
purple coat	3211	
purple sweater	3091	
collared coat	2886	
black undershirt	2859	
raincoat	2827	
yellow vest	2778	
cropped hoodie	2741	
fur coat	2734	
open-chest sweater	2701	
turtleneck shirt	2649	
red hoodie	2643	
tailcoat	2642	
long shirt	2561	
fishnet top	2542	
green hoodie	2456	
cropped vest	2435	
champion's tunic (zelda)	2382	
untucked shirt	2355	
aqua jacket	2236	
pink coat	2217	
yellow hoodie	2201	
bomber jacket	2181	
cropped sweater	2170	
multicolored shirt	2169	
off-shoulder jacket	2022	
plaid jacket	2002	
budget sarashi	1968	
pink camisole	1967	
jersey	1963	
hooded sweater	1944	
poncho	1943	
white tube top	1929	
yellow coat	1921	
pink vest	1907	
sideless shirt	1836	
no jacket	1801	
load bearing vest	1760	
orange hoodie	1756	
black tube top	1755	
yellow sweater vest	1723	
see-through jacket	1709	
polo shirt	1707	
collared vest	1705	
tied jacket	1685	
multicolored coat	1677	
tight shirt	1675	
hawaiian shirt	1667	
cardigan around waist	1662	
black sweater vest	1661	
print jacket	1650	
brown hoodie	1646	
camouflage jacket	1624	
pinstripe shirt	1612	
halter shirt	1608	
purple hoodie	1606	
holding jacket	1585	
frilled camisole	1581	
tented shirt	1580	
sleeveless hoodie	1578	
duffel coat	1575	
two-sided coat	1549	
denim jacket	1520	
green tunic	1503	
red tank top	1487	
blue tunic	1479	
orange sweater	1479	
grey tank top	1468	
vertical-striped jacket	1433	
sukajan	1389	
two-tone hoodie	1382	
blue tank top	1368	
purple cardigan	1349	
yellow raincoat	1343	
torn jacket	1331	
loose shirt	1330	
sleeveless coat	1327	
unworn coat	1307	
hooded cardigan	1300	
pinstripe jacket	1275	
blue camisole	1273	
fur cape	1271	
orange vest	1241	
overcoat	1223	
virgin destroyer sweater	1220	
yellow tank top	1205	
short-sleeved sweater	1190	
frilled jacket	1159	
shirt overhang	1133	
jersey maid	1115	
green tank top	1071	
cross-laced top	1055	
red cardigan	1032	
fur jacket	1010	
polka dot shirt	1007	
camisole lift	999	
sweater tucked in	989	
hooded vest	972	
shoulder sash	970	
yellow camisole	959	
single-shoulder shirt	950	
hooded track jacket	945	
layered shirt	920	
turtleneck jacket	917	
holding shirt	880	
scoop neck	878	
down jacket	875	
short-sleeved jacket	862	
pink tank top	856	
blue sweater vest	851	
two-tone coat	847	
green cardigan	823	
two-tone sweater	813	
lace-trimmed shirt	799	
fur-trimmed shirt	764	
grey sweater vest	751	
kariyushi shirt	735	
checkered shirt	730	
side-tie shirt	727	
multicolored hoodie	726	
grey camisole	719	
surcoat	714	
metamoran vest	712	
red camisole	712	
torn coat	697	
flak jacket	667	
red tube top	665	
purple tank top	604	
shirt under shirt	586	
cardigan vest	585	
shirt partially tucked in	583	
spiked jacket	582	
shirt around waist	578	
vest lift	575	
torn sweater	566	
orange coat	556	
green sweater vest	554	
camouflage shirt	552	
green camisole	546	
white tunic	543	
gradient jacket	535	
impossible sweater	532	
shirt bow	531	
pleated shirt	529	
purple camisole	529	
high-visibility vest	519	
sweater jacket	518	
bike jersey	516	
ribbon-trimmed shirt	512	
long hoodie	495	
pink sweater vest	482	
two-tone vest	480	
baseball jersey	479	
samurai jacket (cyberpunk)	478	
aqua vest	477	
american flag shirt	475	
padded jacket	474	
white undershirt	473	
compression shirt	460	
undone sarashi	457	
backless shirt	456	
midriff sarashi	454	
basketball jersey	450	
shirt partially removed	449	
hooded shirt	423	
blue tube top	419	
pinstripe vest	411	
orange cardigan	407	
orange tank top	404	
frilled vest	401	
band shirt	385	
aqua sweater	371	
brown tank top	370	
buster shirt	361	
ribbed cardigan	356	
sweater around neck	350	
red sweater vest	346	
christmas sweater	344	
backwards virgin killer sweater	332	
quilted jacket	326	
see-through camisole	323	
military coat	317	
firefighter jacket	315	
no coat	306	
feather-trimmed jacket	299	
coat of arms	290	
aqua hoodie	286	
purple sweater vest	278	
white sweater vest	272	
shirt tan	271	
naked lab coat	270	
cardigan lift	269	
fur-trimmed vest	266	
naked cardigan	266	
pp tenshi t-shirt	266	
frilled coat	264	
pink tube top	261	
padded coat	259	
unworn sweater	259	
shirt under sweater	258	
tracen winter coat	253	
tight top	250	
aqua cardigan	247	
fuck-me shirt	245	
safari jacket	244	
shirt on shoulders	241	
black coat (kingdom hearts)	237	
unworn vest	237	
brown camisole	235	
sweater under shirt	229	
kessoku band t-shirt	228	
torn vest	227	
