tag	count	related
alternate costume	383478	
cosplay	110477	
meme attire	24573	
santa costume	23897	
halloween costume	14671	
superhero costume	6372	
nontraditional playboy bunny	4017	
mummy costume	2250	
male playboy bunny	1770	
shark costume	1669	
embellished costume	1569	
tutu	1375	
kourindou tengu costume	1286	
jiangshi costume	1159	
vampire costume	1094	
sailor senshi	821	
pirate costume	530	
wolf costume	460	
dinosaur costume	450	
mascot costume	404	
jester costume	358	
werewolf costume	351	
oni costume	303	
frog costume	268	
unofficial precure costume	257	
dragon costume	246	
mermaid costume	236	
demon costume	226	
pumpkin costume	221	
cross-species cosplay	219	
christmas tree costume	216	
bee costume	213	
black santa costume	211	
naked costume	192	
chicken costume	190	
hamster costume	174	
food costume	164	
fox costume	159	
dancer's costume (dq)	153	
lion costume	149	
bird costume	140	
anglerfish costume	138	
danganronpa 10th anniversary costume	128	
blue santa costume	107	
tempura costume	106	
