tag	count
official alternate costume	309695
multicolored clothes	48770
adapted costume	46800
formal clothes	41186
casual	38559
shiny clothes	23901
lolita fashion	23504
cross-laced clothes	17840
winter clothes	14308
gothic lolita	13879
tight clothes	13493
oversized clothes	10854
asymmetrical clothes	10046
costume switch	6201
gradient clothes	5267
sideless outfit	5193
idol clothes	4899
jirai kei	4583
goth fashion	4523
floating clothes	3933
layered clothes	3717
ancient egyptian clothes	3583
undersized clothes	3494
borrowed clothes	2987
arabian clothes	2926
greco-roman clothes	2698
tactical clothes	2581
shared clothes	2525
loose clothes	2486
dirty clothes	2396
german clothes	2237
ancient greek clothes	2172
biker clothes	2157
wrestling outfit	2125
ainu clothes	1963
ouji fashion	1907
sweaty clothes	1730
burnt clothes	1442
baggy clothes	1316
sweet lolita	1126
prison clothes	1122
living clothes	1098
expressive clothes	1022
patchwork clothes	998
frontless outfit	953
virgin killer outfit	946
emo fashion	898
stained clothes	829
paint on clothes	785
y2k fashion	702
cyber fashion	681
indian clothes	617
bandages over clothes	609
painted clothes	557
object in clothes	494
food on clothes	429
aristocratic clothes	409
diamond clan outfit	363
liquid clothes	349
roman clothes	334
workout clothes	322
tentacle clothes	280
animal in clothes	271
under another's clothes	251
glowing clothes	218
quilted clothes	206
reflective clothes	201
slavic clothes	201
used condom in clothes	198
ornate clothes	195
food as clothes	182
vietnamese clothes	181
tail under clothes	174
bandaid on clothes	171
burning clothes	155
pearl clan outfit	139
indonesian clothes	138
split-color clothes	127
hawaiian clothes	126
chocolate on clothes	109
african tribal outfit	
art deco-inspired outfit	
athleisure outfit	
baroque-inspired outfit	
boho-chic outfit	
business casual outfit	
casual outfit	
cowboy outfit	
cyberpunk outfit	
dark age outfit	
desert chic outfit	
edgy outfit	
elegant outfit	
ethnic outfit	
futuristic glamour outfit	
futuristic outfit	
glam rock outfit	
gothic outfit	
grunge outfit	
gypsy outfit	
handcrafted outfit	
heroic fantasy outfit	
hipster outfit	
indian ethnic outfit	
industrial outfit	
japanese street outfit	
korean street outfit	
military outfit	
minimalist outfit	
nautical outfit	
post-apocalyptic outfit	
punk outfit	
rave outfit	
retro futurism outfit	
rocker outfit	
romantic victorian outfit	
safari outfit	
sophisticated outfit	
space age outfit	
sports luxe outfit	
steampunk outfit	
streetwear outfit	
techno outfit	
tomboy outfit	
tropical outfit	
urban chic outfit	
urban outfit	
utility outfit	
victorian-inspired outfit	
vintage glamour outfit	
vintage/retro outfit	
