tag	count	related
japanese clothes	286888	
kimono	181963	
chinese clothes	86868	
hakama	36528	
nontraditional miko	21298	
yukata	19279	
miko	15690	
habit	15511	
short kimono	11993	
haori	11876	
tasuki	8702	
fundoshi	7731	
sleeveless kimono	5560	
hanfu	4617	
furisode	3994	
korean clothes	2308	
tangzhuang	1935	
happi	1389	
hanbok	1209	
uchikake	1142	
layered kimono	1027	
hakama shorts	958	
ao dai	911	
mizu happi	787	
karate gi	677	
right-over-left kimono	526	
short yukata	498	
changpao	468	
russian clothes	324	
mexican clothes	139	
chanchanko		
dotera		
fengguan		
hanten		
longpao		
miao clothes		
mino boushi		
qipao		
straw cape		
