tag	count	related
school uniform	566348	
serafuku	231466	
maid	121616	
military uniform	68455	
suit	44871	
gym uniform	27614	
enmaided	24284	
sailor dress	23137	
nurse	13287	
waitress	10532	
race queen	8548	
naval uniform	8344	
police uniform	8098	
gakuran	7175	
unconventional maid	6903	
business suit	4474	
wa maid	3780	
skirt suit	3655	
sailor	2999	
meiji schoolgirl uniform	2755	
pant suit	2469	
tennis uniform	2371	
tuxedo	2021	
volleyball uniform	1915	
baseball uniform	1630	
soccer uniform	1594	
male maid	1239	
basketball uniform	1089	
track uniform	967	
luna nova school uniform	823	
fast food uniform	736	
band uniform	685	
victorian maid	568	
team magma uniform	373	
maid leotard	299	
maid cafe	275	
school nurse	244	
mixed maids	213	
qi maid	162	
american football uniform	150	
army uniform		
cheerleader uniform		
chef uniform		
formal		
hooters uniform		
maid one-piece swimsuit		
maid uniform		
nun uniform		
nurse uniform		
royal navy uniform		
rugby uniform		
sailor uniform		
shosei		
thai college uniform		
waitress uniform		
