tag	count
bra	189330
black bra	59386
white bra	32264
sports bra	30921
pink bra	19257
bow bra	13926
lace-trimmed bra	12282
blue bra	11802
black sports bra	11346
frilled bra	8531
red bra	7639
bra strap	7518
purple bra	7307
unworn bra	4583
white sports bra	4184
green bra	3853
striped bra	3325
lace bra	3116
strapless bra	2576
yellow bra	2431
grey sports bra	2300
cupless bra	2265
grey bra	2171
open bra	2139
polka dot bra	2043
belt bra	1914
print bra	1860
blue sports bra	1571
training bra	1543
two-tone sports bra	1524
string bra	1232
brown bra	1097
aqua bra	1093
sports bra lift	1081
red sports bra	1043
plaid bra	935
micro bra	910
pink sports bra	807
orange bra	767
front-tie bra	701
front-hook bra	678
vertical-striped bra	559
green sports bra	503
ribbon-trimmed bra	487
adjusting bra	465
purple sports bra	429
see-through bra	402
undone bra	396
torn bra	384
orange sports bra	360
yellow sports bra	357
embroidered bra	346
bra slip	325
two-tone bra	318
satin bra	292
shelf bra	264
multi-strapped bra	234
multicolored bra	232
striped sports bra	224
brown sports bra	223
adhesive bra	221
bridgeless bra	205
fur-trimmed bra	191
see-through sports bra	186
bra over clothes	183
sports bra pull	162
vertical-striped sports bra	154
bra on head	153
ball bra	130
sailor moon narikiri bra set	121
presenting bra	120
wet bra	113
strawberry bra	111
latex bra	105
torn sports bra	105
