tag	count	related
bikini pull	8686	
bikini top lift	4913	
adjusting swimsuit	4130	
leotard pull	2923	
kimono pull	1590	
kimono lift	1179	
bikini bottom pull	1065	
apron lift	1049	
holding swimsuit	1023	
clothes theft	767	
adjusting leotard	612	
bikini top pull	584	
sailor collar lift	496	
bikini tug	495	
swimsuit lift	376	
apron hold	332	
tying apron	262	
hakama lift	259	
bodysuit pull	246	
swimsuit theft	234	
cape lift	231	
apron tug	195	
swimsuit tug	194	
apron pull	176	
leotard lift	176	
bikini bottom lift	133	
hakama pull	122	
leotard tug	114	
robe lift	102	
one-piece swimsuit pull		
