tag	count
strap slip	36618
open fly	14783
clothes around waist	12111
open kimono	9536
unworn clothes	6599
bikini bottom aside	6125
swimsuit aside	4868
open robe	1815
open belt	1634
unworn eyepatch	803
suspenders slip	658
glass slipper	595
bikini around one leg	522
double strap slip	504
unworn gag	503
open pajamas	502
bikini top aside	428
earphones removed	425
single earphone removed	416
pelvic curtain aside	404
unworn belt	364
wet spot	338
fundoshi aside	283
breast curtain lift	277
unworn blindfold	219
unworn ribbon	211
unworn bow	146
unworn shoe	138
slip showing	137
belt around waist	118
unworn sleeves	116
unworn headband	114
bikini bottom around leg	113
open happi	108
unworn blazer	105
towel slip	102
wet and messy	102
