tag	count
sweatdrop	170957
flying sweatdrops	64322
?	52133
spoken heart	42250
...	34539
!	27032
spoken ellipsis	23061
!?	18708
spoken question mark	15227
spoken exclamation mark	8978
!!	8070
zzz	7857
spoken blush	6563
spoken musical note	6401
spoken squiggle	4422
??	4213
spoken anger vein	3971
spoken interrobang	3548
small sweatdrop	2402
spoken sweatdrop	2165
spoken expression	900
...?	782
pleading face emoji	496
spoken x	456
gleam	428
no	363
comedic sweatdrop	219
explosion gag	159
sparkling sweat	153
thinking emoji	142
wryyyyyyyyyyyyyyyyyyyy	104
dodododo	101
