tag	count
:d	436700
:o	154975
:3	88258
^ ^	72223
;d	54132
> <	43206
^^^	35047
:p	34473
:<	30993
@ @	30540
:q	28471
+ +	23123
:t	21615
;)	19867
= =	17771
w	15493
o o	14643
+++	11525
| |	11512
>:)	11041
:>	10823
:/	10282
;o	8254
:|	7455
3:	7032
d:	6827
;p	6197
xd	5425
0 0	5021
>:(	4725
:>=	4637
;q	3944
:i	3073
> o	2518
;3	2462
u u	2317
o3o	2307
c:	1693
double w	1662
x x	1609
>o<	1491
<|> <|>	1303
:x	1286
. .	1251
<o> <o>	925
x3	696
:c	684
;(	620
w over eye	510
;<	447
d;	388
uwu	239
t t	208
;|	160
3 3	142
^q^	138
>3<	101
+ -	
/:/	
/:/<	
/:/>	
/:/>=	
/:3	
/:c	
/:d	
/:i	
/:o	
/:p	
/:q	
/:t	
/:x	
/<o/> /<o/>	
/> /<	
/> @	
/>o/<	
0w0	
3/:	
;/)	
;/<	
=^=	
=v=	
>/:/(	
>/:/)	
^o^	
c/:	
d/:	
