tag	count	related
blush	2535113	
tears	175161	
v-shaped eyebrows	135870	
head tilt	120435	
nose blush	96766	
expressionless	89861	
embarrassed	86726	
frown	81871	
blush stickers	68963	
wavy mouth	64663	
happy	64330	
light blush	56297	
crying	54246	
shaded face	39089	
surprised	37666	
tearing up	37216	
anger vein	37034	
furrowed brow	31071	
angry	30680	
crying with eyes open	27309	
pout	22167	
serious	20727	
full-face blush	19935	
smug	19214	
smirk	19097	
drunk	12298	
wince	11835	
ear blush	11132	
assertive female	10599	
scared	10458	
annoyed	9798	
nervous sweating	9710	
nervous	9481	
nosebleed	8534	
sad	7965	
sleepy	7569	
shy	7280	
body blush	5948	
breast envy	5805	
hot	5804	
nervous smile	5737	
streaming tears	5317	
turn pale	4537	
imagining	4399	
scowl	4020	
gloom (expression)	3550	
thinking	3416	
jealous	3081	
flustered	2814	
false smile	2695	
grimace	2683	
confused	2667	
screaming	2611	
worried	2543	
teasing	2421	
smiley face	2302	
happy tears	2212	
doyagao	2186	
disgust	2125	
sigh	2031	
excited	1659	
pain	1644	
unamused	1612	
exhausted	1512	
puffy cheeks	1215	
bored	1154	
crazy	1031	
panicking	910	
determined	891	
affectionate	865	
hungry	830	
troll face	803	
gesugao	791	
head steam	690	
clueless	644	
depressed	606	
curious	591	
flying teardrops	580	
sobbing	555	
flirting	547	
unhappy	517	
rape face	512	
happy facial	500	
stomach growling	499	
breast awe	492	
concentrating	492	
tantrum	476	
lovestruck	453	
furious	447	
scolding	445	
arguing	441	
fever	430	
horrified	410	
lonely	406	
remembering	384	
despair	375	
rejection	359	
frustrated	356	
eargasm	313	
disappointed	296	
traumatized	292	
clumsy	289	
messy sleeper	289	
awkward	284	
nightmare	283	
meditation	269	
ara ara	267	
disdain	248	
insult	240	
dazed	236	
headbutt	236	
distress	214	
dizzy	214	
sulking	211	
unaware	198	
taunting	196	
teri derp (meme)	192	
vomiting rainbows	185	
grumpy	169	
awestruck	164	
disheveled	163	
fart	161	
ptsd	145	
envy	133	
making faces	127	
hair blush	124	
neck blush	124	
age conscious	123	
pensive	123	
trembling legs	122	
full-body blush	121	
tears from one eye	121	
atsuko's grin (meme)	113	
denial	109	
deadpan	102	
dojikko	102	
awe		
crazy face		
cry		
daydreaming		
gloom		
guilt		
kubrick stare		
ruined makeup		
smirking		
smug expression		
tilting head		
