tag	count
blue eyes	1409152
red eyes	1047308
purple eyes	685847
brown eyes	663616
green eyes	660136
yellow eyes	572334
pink eyes	230370
black eyes	157726
symbol-shaped pupils	152490
grey eyes	148306
orange eyes	143030
aqua eyes	140932
eyelashes	138439
mole under eye	137229
heterochromia	92155
heart-shaped pupils	81083
bright pupils	70098
slit pupils	56074
white pupils	54118
third eye	37922
tsurime	35688
glowing eyes	33706
colored sclera	32530
one eye covered	32527
tareme	30859
multicolored eyes	26965
empty eyes	25634
colored eyelashes	25081
jitome	24451
short eyebrows	24275
bags under eyes	21359
scar across eye	19375
ringed eyes	18416
star-shaped pupils	17888
symbol in eye	17681
black sclera	17414
covered eyes	15633
eyeball	14018
alternate eye color	11814
white eyes	11279
cross-shaped pupils	9576
red pupils	9398
mismatched pupils	9359
sparkling eyes	9045
no pupils	8987
glowing eye	8974
star in eye	8726
two-tone eyes	8398
flower-shaped pupils	7838
one-eyed	7691
sanpaku	7451
blank eyes	7406
gradient eyes	7149
long eyelashes	7016
pink pupils	6790
extra eyes	6727
heart in eye	6656
yellow sclera	6500
no eyes	5685
diamond-shaped pupils	5125
solid oval eyes	5092
yellow pupils	4460
solid circle eyes	4363
x-shaped pupils	4257
red sclera	4224
horizontal pupils	4047
blue pupils	3984
forked eyebrows	3260
drop-shaped pupils	2765
rabbit-shaped pupils	2126
power symbol-shaped pupils	2040
cyclops	1880
jewel under eye	1748
artificial eye	1719
blue sclera	1692
mole under each eye	1664
cephalopod eyes	1653
mechanical eye	1516
no sclera	1489
purple pupils	1387
button eyes	1369
solid eyes	1360
dashed eyes	1244
mark under both eyes	1149
butterfly-shaped pupils	1112
flower in eye	1070
green pupils	1065
flower over eye	1036
wavy eyes	983
clock eyes	974
blind	972
green sclera	937
hollow eyes	878
orange pupils	854
mark under eye	832
mismatched sclera	832
eye reflection	777
heart-shaped eyes	765
mole above eye	765
solid circle pupils	731
official alternate eye color	709
bloodshot eyes	692
wide oval eyes	639
compound eyes	624
extra pupils	622
disembodied eye	597
triangle-shaped pupils	552
pink sclera	542
lazy eye	530
byakugan	525
flaming eyes	521
sharingan	520
orange sclera	515
missing eye	450
mismatched eyelashes	443
googly eyes	433
aqua pupils	431
grey sclera	402
rectangular pupils	400
third eye on chest	356
eyes out of frame	336
square pupils	324
mature eyes	323
grey pupils	293
rainbow eyes	282
sun-shaped pupils	279
sunburst iris	263
eye socket	240
dot pupils	197
wavy eyebrows	181
glowing pupils	176
lens eye	174
eyes visible through eyewear	170
shiny eyes	166
brown sclera	159
cocked eyebrow	155
brown pupils	154
clover-shaped pupils	148
dripping eye	131
mismatched irises	122
dangling eye	113
small pupils	113
stitched eye	109
asymmetrical eyes	105
