tag	count	related
closed eyes	498160	
one eye closed	339935	
half-closed eyes	80433	
raised eyebrows	30208	
wide-eyed	23555	
rolling eyes	11755	
constricted pupils	9769	
blinking	7417	
glaring	7278	
raised eyebrow	6314	
half-closed eye	5849	
uneven eyes	4927	
crazy eyes	4732	
narrowed eyes	3853	
covering own eyes	3031	
upturned eyes	2995	
unusually open eyes	2902	
eyelid pull	1394	
squinting	1202	
covering one eye	1140	
blank stare	1066	
v-shaped eyes	839	
covering another's eyes	817	
cross-eyed	726	
bulging eyes	694	
raised inner eyebrows	589	
eyes in shadow	578	
winking (animated)	556	
wall-eyed	364	
eye pop	320	
creepy eyes	166	
pleading eyes	156	
opening eyes	144	
spiral-only eyes	141	
lowered eyelids	126	
wink star	125	
squiggle eyes	114	
paralysis		
