tag	count	related
mole	222127	
thick eyebrows	68860	
mole under mouth	44215	
dot nose	40020	
scar on face	36678	
faceless	35170	
freckles	29987	
faceless male	27769	
beard	23603	
nose	17182	
mustache	14707	
no nose	13800	
stubble	12476	
animal nose	11660	
light frown	11335	
triangle mouth	11307	
sideburns	11234	
scar on cheek	10333	
facepaint	9819	
goatee	8539	
dimples of venus	5973	
faceless female	5765	
multiple moles	5049	
mole on neck	4517	
colored tongue	4179	
long sideburns	4013	
skin fangs	3446	
beard stubble	3098	
dirty face	2816	
hikimayu	2754	
pink eyeshadow	2715	
body freckles	2554	
thick eyelashes	2337	
stitched face	2284	
white eyelashes	2254	
eyebrow piercing	2163	
forked tongue	2128	
blue tongue	2057	
eyebrow cut	1943	
mole on cheek	1924	
bruise on face	1697	
buck teeth	1696	
green lips	1651	
fake mustache	1650	
mole on stomach	1628	
long beard	1595	
full beard	1579	
uvula	1550	
curly eyebrows	1518	
thick lips	1514	
extra mouth	1359	
sideburns stubble	1324	
thick mustache	1297	
goatee stubble	1259	
mole above mouth	1259	
mustache stubble	1246	
mismatched eyebrows	1212	
nostrils	1178	
cum in nose	1158	
extra faces	1137	
mole on arm	1117	
purple tongue	1105	
no eyebrows	1102	
black eyeliner	1068	
mole on collarbone	1039	
paint splatter on face	1038	
no mole	1020	
thick beard	1006	
scar on mouth	997	
pointy nose	978	
stitched mouth	978	
mouth piercing	935	
pubic stubble	899	
mole on armpit	794	
long nose	766	
very long tongue	699	
huge eyebrows	679	
very long beard	663	
red nose	658	
mole on shoulder	652	
drawn whiskers	615	
lipstick mark on face	614	
cheekbones	577	
multiple expressions	569	
glowing mouth	554	
long eyebrows	543	
sparse stubble	522	
wide face	503	
wet face	495	
missing tooth	490	
marking on cheek	459	
green tongue	420	
sunken cheeks	393	
mole on crotch	386	
grey lips	363	
medium sideburns	349	
yellow teeth	345	
mutton chops	343	
lower eyelashes only	339	
black mouth	331	
aquiline nose	296	
orange lips	294	
eyebrows visible through hat	279	
yellow tongue	279	
mole on leg	275	
prehensile tongue	275	
braided beard	225	
mole on back	217	
mole on chest	199	
cheek piercing	196	
tooth gap	195	
chinstrap beard	172	
long mustache	165	
orange tongue	165	
gold teeth	163	
mole on forehead	162	
chin piercing	161	
heart on cheek	160	
veiny face	159	
armpit stubble	157	
tongue tattoo	156	
dog nose	144	
black tongue	143	
pink nose	142	
pig nose	140	
extra teeth	133	
two-tone beard	132	
anti-eyebrow piercing	124	
single tooth	119	
mole on nose	118	
double chin	116	
fake nose	113	
brown eyeshadow	105	
disembodied tongue	104	
