tag	count
looking at viewer	2903688
looking back	239149
looking at another	196245
looking to the side	141529
looking down	78092
looking up	54133
facing viewer	48302
eye contact	33435
looking ahead	21139
sideways glance	20413
facing away	17670
looking afar	11859
facing another	8419
looking at penis	6341
looking at object	6194
averting eyes	5351
turning head	4775
peeking out	4771
looking over eyewear	3911
looking at phone	3691
staring	3469
looking at animal	3441
peeking	2847
looking at mirror	2733
facing to the side	2674
looking at breasts	1612
looking at food	1362
looking outside	1203
looking through own legs	1166
facing up	861
facing down	780
facing ahead	739
looking at hand	702
watching	684
peeking through fingers	434
looking at self	405
facing back	384
looking at flowers	302
looking at screen	269
back turned	236
looking through scope	194
looking past viewer	185
looking at hands	181
glance	171
looking inside	152
shoulder peek	151
looking at ass	150
looking at bulge	144
looking at creature	144
stare down	108
looking at pussy	105
looking through fingers	100
