tag	count
hug	86939
bdsm	55760
carrying	32275
hugging object	20579
hug from behind	19520
adjusting hair	18686
lactation	16251
princess carry	9703
body writing	9676
tying hair	8774
presenting armpit	8299
mind control	8266
pillow hug	7272
hypnosis	6100
carrying person	5496
lifting person	5148
spread toes	5059
arm hug	4238
tucking hair	4206
finger in another's mouth	3581
spanked	3443
piggyback	3298
hugging doll	3218
playing with own hair	3166
strangling	3004
cuddling	2770
asphyxiation	2418
carrying over shoulder	2357
elbow carry	2293
shoulder carry	2290
spread wings	2233
pet play	2219
hair lift	2121
brushing hair	2118
hairdressing	2005
projectile lactation	1974
spanking	1961
inflation	1834
animal hug	1745
wiping sweat	1640
carrying under arm	1618
stepped on	1555
stab	1404
drying hair	1361
lactation through clothes	1347
brushing another's hair	1343
breast expansion	1341
consensual tentacles	1292
pinned	1243
tentacles under clothes	1228
hairjob	1217
struggling	1198
breastfeeding	1165
glomp	1117
bunching hair	1089
cutting hair	1062
hugging tail	1052
incoming hug	922
mutual hug	922
gun to head	836
braiding hair	814
group hug	808
hugging book	790
self hug	771
entangled	762
child carry	761
foot worship	758
spread navel	721
multiple riders	719
protecting	693
choke hold	661
egg laying	655
spread armpit	655
crushing	651
hugging own tail	621
washing hair	613
playing with another's hair	610
hugging another's leg	515
brushing own hair	497
trapped	495
imminent hug	472
clinging	460
at gunpoint	438
tentacle in mouth	435
headlock	418
hugging another's tail	404
pegging	401
adjusting another's hair	397
picking up	395
submission hold	384
carrying overhead	382
head on ass	361
running bond	340
baby carry	336
head pinned down	323
mind break	313
armpit carry	309
pony play	309
held down	295
floating breasts	286
tentaclejob	267
lactating into container	251
babywearing	243
cutting own hair	214
spread cleavage	210
playing with hair	199
smother	199
drinking pee	197
breast drop	196
giving birth	196
whipping	195
trample	192
constriction	191
forced lactation	190
bearhug	167
bootjob	162
hand in another's mouth	147
blade to throat	145
tying another's hair	145
double arm hug	138
wax play	134
domination	131
womb massage	131
reverse princess carry	128
brushing tail	125
body control	121
brushing	120
kinniku buster	120
egg implantation	118
tentacle around neck	118
free hugs	115
presenting tanlines	110
joint lock	104
rear naked choke	104
hypnotizing viewer	103
slit throat	103
face hug	102
imminent spanking	101
spread nipple	101
choking	
combing hair	
cuddle huddle	
force-feeding	
hair washing	
impaled	
laying eggs	
public exposure	
