tag	count	related
bound	66621	
bondage	47392	
restrained	39396	
bound wrists	17596	
gagged	16299	
shibari	13796	
bound arms	12926	
bound legs	7483	
shibari over clothes	4127	
frogtie	3991	
crotch rope	3405	
chained	3226	
suspension	3184	
bound ankles	3083	
breast bondage	2374	
stationary restraints	2309	
tied up (nonsexual)	1919	
bound together	1131	
bound torso	787	
immobilization	739	
hogtie	723	
tape bondage	711	
box tie	589	
tied to chair	487	
bound thighs	473	
shibari under clothes	462	
cuffs-to-collar	397	
predicament bondage	256	
rope around neck	240	
ungagged	207	
encasement	178	
bound knees	171	
public bondage	171	
mummification (bound)	167	
standing restraints	132	
bound leg	115	
bound feet	108	
strappado	105	
self bondage	103	
bound calves		
