tag	count	related
holding	1089329	
hand up	291973	
arm up	177937	
arms up	166635	
hands up	149889	
v	127871	
holding hands	76368	
arms behind back	75890	
crossed arms	60342	
own hands together	60216	
outstretched arms	49550	
outstretched arm	49210	
arms behind head	46214	
pointing	44856	
clenched hand	41100	
index finger raised	39246	
interlocked fingers	38640	
arm at side	35526	
arm behind back	33577	
arm behind head	31100	
clenched hands	29294	
reaching	24081	
paw pose	23739	
double v	23660	
dual wielding	22907	
v arms	22111	
arms at sides	20508	
waving	19973	
heart hands	19141	
reaching towards viewer	18656	
outstretched hand	16726	
claw pose	16722	
w	15493	
spread arms	14698	
presenting	13249	
salute	11996	
open hand	11331	
own hands clasped	10454	
thumbs up	9639	
pointing at viewer	8642	
fox shadow puppet	8243	
shushing	6646	
between fingers	6558	
pinky out	6447	
v over eye	5566	
open hands	5279	
pointing at self	5137	
arms around neck	5129	
steepled fingers	5117	
reverse grip	4845	
w arms	4778	
rabbit pose	4773	
pointing up	4533	
locked arms	4395	
arm around shoulder	4149	
middle finger	4122	
arm around waist	4117	
finger gun	3930	
twirling hair	3841	
arm held back	3830	
finger to cheek	3660	
fellatio gesture	3477	
come hither	3394	
arm around neck	3298	
hand grab	2978	
ok sign	2967	
praying	2888	
giving	2772	
heart hands duo	2711	
finger to own chin	2673	
convenient arm	2603	
spread fingers	2520	
presenting foot	2384	
flexing	2192	
curled fingers	1965	
oral invitation	1939	
cheering	1931	
index fingers together	1912	
beckoning	1866	
double fox shadow puppet	1854	
cupping hands	1715	
pointing at another	1692	
curtsey	1613	
palms together	1558	
finger heart	1475	
v over mouth	1443	
finger to face	1441	
arms around waist	1364	
outstretched leg	1359	
raised fist	1333	
bowing	1317	
akanbe	1306	
heart in heart hands	1194	
clapping	1186	
hat tip	1168	
arm above head	1165	
hand to head	1112	
finger frame	1106	
lap pillow invitation	1041	
index fingers raised	996	
gyaru v	990	
asymmetrical dual wielding	989	
double \m/	880	
finger to another's mouth	880	
two-finger salute	876	
fidgeting	866	
arm around back	857	
offering hand	857	
facepalm	845	
casting spell	841	
hand over eye	836	
handjob gesture	834	
arm across waist	760	
marriage proposal	734	
pointing forward	705	
arm over head	700	
holding heart	683	
hand grip	680	
shrugging	650	
fingers to cheeks	608	
fist bump	605	
heart hands failure	553	
handshake	547	
waving arms	547	
x fingers	547	
fist pump	539	
thumbs down	537	
pointing down	533	
penetration gesture	503	
x arms	500	
high five	489	
imitating	485	
bed invitation	473	
waving arm	461	
hand on hand	460	
horns pose	459	
kupaa	454	
reaching towards another	451	
arm pillow	431	
apologizing	423	
cupping glass	416	
cracking knuckles	415	
surprised arms	412	
pointing melee weapon	403	
arms around back	392	
crossed wrists	391	
tsuki ni kawatte oshioki yo	390	
begging	382	
toasting (gesture)	382	
cupping hand	373	
snapping fingers	366	
finger counting	350	
pointing to the side	350	
pinky swear	345	
rock paper scissors	338	
summoning	333	
inward v	316	
double middle finger	311	
power fist	305	
fist in hand	300	
presenting another	298	
cunnilingus gesture	297	
money gesture	284	
middle w	283	
saturday night fever	280	
pointing sword	261	
hand to forehead	258	
double finger gun	256	
wrists extended	247	
crossed fingers	241	
anal invitation	238	
ok sign over eye	238	
hand around waist	234	
hand around neck	231	
double biceps pose	222	
censored gesture	221	
groping motion	216	
flick	213	
triple wielding	212	
dojikko pose	206	
vulcan salute	201	
shadow puppet	196	
shaka sign	191	
fig sign	180	
finger to head	178	
heart arms	176	
bras d'honneur	170	
quadruple wielding	165	
carry me	160	
card between fingers	158	
fusion dance	153	
chop	152	
finger to another's cheek	150	
reverse prayer	150	
hand gagged	146	
holding finger	141	
arms on head	140	
wrist extended	140	
arm around leg	135	
palm-fist greeting	133	
finger touching	132	
holding hands is lewd	132	
dab (dance)	131	
airplane arms	128	
hadouken	126	
gangsta hold	122	
double finger heart	121	
crosscounter	119	
raised fists	119	
finger wagging	116	
objection	116	
finger writing	113	
hitchhiking	111	
waving hands	107	
coin flip	106	
imminent hand holding	106	
offering leash	106	
multiple wielding	105	
twiddling fingers	104	
hand to hand	103	
convenient hand	101	
hover hand	100	
miko embrace	100	
4-finger heart hands		
\m//		
\n//		
air quotes		
che vuoi? /(italian gesture/)		
cross-body stretch		
half-heart hands		
hand glasses		
heart hands quartet		
heart hands trio		
jack-o' challenge		
kamina pose		
kitsune no mado		
noogie		
ohikaenasutte		
ojou-sama pose		
oral simulation		
palm-fist tap		
pointing spider-man /(meme/)		
shocker /(gesture/)		
slit throat /(gesture/)		
stop (gesture)		
straight-arm salute		
two-handed		
