tag	count
hand on own hip	127810
arm support	85988
groping	77464
hand on own chest	53400
covering privates	42294
hand on own face	36821
hand in own hair	30353
hand on another's head	27392
head rest	25230
hand between legs	24672
hands on own hips	24550
hand in pocket	24025
grabbing from behind	20086
hand on own cheek	19558
hand on another's shoulder	18723
hands in pockets	17767
adjusting eyewear	17028
hand on headwear	15654
hand on another's face	14150
headpat	13418
hands on own chest	13131
hands on own face	13076
grabbing another's ass	12743
hand on own chin	12577
hand on own head	12346
covering crotch	12161
hand on own thigh	12024
holding own hair	11917
leg grab	11291
holding another's wrist	10922
hand on own knee	10415
torso grab	9120
trigger discipline	9034
sheet grab	8996
hand on own stomach	7428
hand on own ass	7165
hands on own cheeks	7025
grabbing another's hair	6518
hand on another's cheek	6220
elbow rest	5998
grabbing own ass	5906
hands in hair	5850
hands on own knees	5729
hand on another's chin	5696
holding own arm	5658
covering face	5643
thigh grab	5609
hand on own arm	5312
arm rest	4955
poking	4684
hand on another's thigh	4601
hand on another's back	4597
holding another's arm	4486
hand under clothes	4453
hand on another's arm	4375
hands on another's face	4112
hand on another's chest	4063
hand in another's hair	4022
finger on trigger	3951
hands on another's shoulders	3859
hand on another's waist	3843
hand on another's hip	3722
head grab	3558
covered face	3256
hand on another's ass	3227
hand on own leg	3214
pillow grab	3214
rubbing eyes	3187
pinching	3040
petting	2996
kabedon	2987
hand in panties	2805
hands on another's head	2771
hands on own thighs	2725
hands on own head	2722
hand on another's stomach	2654
hand on hilt	2602
hands in opposite sleeves	2578
shading eyes	2526
holding another's hair	2499
hand on another's neck	2491
curtain grab	2383
hands on lap	2366
hands on headwear	2343
hand on eyewear	2326
cheek poking	2240
tickling	2230
grabbing another's arm	2219
cheek pinching	2216
pulling	2104
head on another's shoulder	2098
leg hold	2096
guiding hand	1901
hands on another's cheeks	1871
holding own tail	1773
hand on another's leg	1755
hands on own ass	1710
grabbing another's chin	1698
cheek press	1692
tail grab	1672
belly grab	1655
hand on own shoulder	1640
hands on feet	1584
cheek squash	1557
wiping tears	1504
hand on lap	1496
wiping face	1469
pinching sleeves	1464
hand on own forehead	1435
stroking own chin	1433
arms between legs	1430
hands on own stomach	1385
holding another's leg	1373
arm between legs	1351
head on hand	1345
hand on own neck	1340
hand rest	1339
pectoral grab	1317
hands on another's thighs	1309
hand under shirt	1248
leash pull	1247
hands on ground	1246
holding legs	1238
hands on another's hips	1234
fanning self	1231
hand on ground	1214
ruffling hair	1210
comforting	1207
hand on glass	1200
covering ass	1184
slapping	1176
elbows on table	1169
hand on wall	1169
hand on own elbow	1153
ankle grab	1105
hitting	1082
hand in own panties	1076
hand on another's hand	1054
holding with feet	1054
hand on own ear	988
hand on another's ear	982
hand on floor	957
horn grab	906
pushing	905
massage	890
cheek pull	889
arm on knee	863
sleeve grab	849
hand on leg	848
hand on own crotch	839
hand on table	839
hands on another's chest	836
holding leg	824
hands on hilt	816
holding own foot	813
dragging	796
holding another's foot	788
hands in pocket	758
hand in another's panties	744
crotch grab	730
hands on another's waist	711
holding with tail	707
hand on railing	706
hands on own legs	694
holding own leg	680
grabbing another's ear	673
tickling feet	665
tickling armpits	653
elbow on knee	630
arm on another's shoulder	623
fanning face	618
scratching head	616
hand on another's knee	614
scratching cheek	607
pushing away	590
pectoral press	588
squeezing	585
holding another's tail	580
hands on another's back	567
hands on own chin	564
arm on own head	558
cheek rest	549
elbow on table	543
hands on shoulders	540
covering own ears	537
hands on another's stomach	534
tickling sides	512
arms on knees	495
hands on floor	482
holding own wrist	481
hands on headphones	470
scratching	468
hand over face	456
hand on own foot	454
hand on another's crotch	443
grabbing own thigh	441
hand under swimsuit	438
tentacle grab	434
neck grab	426
head hug	419
head on arm	418
rubbing	414
face punch	402
hands on own knee	401
hands in own hair	394
face grab	387
tickle torture	382
hand on weapon	376
shoulder grab	362
finger to eye	358
hand under skirt	353
lifting covers	353
hands on another's neck	350
fanning crotch	347
arms on table	346
arm on table	340
elbows on knees	335
hands on thighs	330
stroking another's chin	329
surrounded by hands	317
grabbing another's hand	314
patting	312
hand on forehead	300
arm over shoulder	293
tickling legs	287
belly rub	283
breathing on hands	282
hands on another's arms	278
tickling stomach	277
tail pull	274
fanning	273
stomach punch	260
hand in pants	255
holding ears	255
grabbing another's thighs	252
hand on window	252
hands on legs	252
cape hold	243
poking belly	243
hand on own ankle	239
hand on another's mouth	235
patting lap	228
clutching chest	222
covering head	217
caress	216
hand under shorts	216
body exploration	215
wiping forehead	213
squishing	211
hands on another's leg	209
foot massage	197
grabbing another's stomach	196
hand on another's wrist	195
hands on own leg	195
pectoral squeeze	194
holding another's thighs	190
fan speaking	177
hands on table	177
thumb in pocket	176
warming hands	173
shoulder massage	171
pushing face	169
hand on blade	168
hands on another's arm	166
grabbing another's tail	159
pushing down	159
hand on animal	157
kabedon on viewer	157
tug	155
cord pull	154
hand over heart	153
hands on own neck	150
pectoral lift	146
hand in bikini	141
grabbing own hair	140
hands under legs	138
holding stomach	137
hands on own shoulders	136
squeezing cheeks	136
hands on another's ass	133
arm on thigh	130
hands on own crotch	129
finger under clothes	127
pulling own ear	127
fan over face	126
hands on own feet	125
legs grab	125
ear fondling	124
hand on sheath	123
arm on another's head	121
hand in pantyhose	120
holding another's wrists	118
hand on mirror	117
head on another's stomach	116
forehead flick	114
cocked hammer	113
incoming headpat	113
hands on stomach	109
tail fondling	109
foot kabedon	108
fingers between toes	101
hand in bra	
hand on inner thigh	
reach-around	
