tag	count	related
wading	33954	
floating	31105	
walking	26561	
bouncing breasts	23235	
flying	21676	
running	20288	
jumping	17276	
dancing	11634	
riding	11423	
battle	10201	
aiming	8175	
splashing	8088	
kicking	7993	
falling	7269	
broom riding	6284	
midair	5357	
firing	5283	
punching	5005	
afloat	3729	
swimming	3531	
exercising	3527	
aiming at viewer	3444	
fighting	3432	
throwing	2838	
turnaround	2740	
duel	2619	
horseback riding	2408	
pole dancing	2368	
incoming attack	2261	
attack	2254	
spinning	2186	
fleeing	1978	
wrestling	1849	
tripping	1810	
chasing	1695	
high kick	1536	
drawing sword	1502	
freediving	1480	
bouncing ass	1370	
balancing	1354	
dropping	1258	
climbing	1149	
ass shake	1128	
ready to draw	1122	
levitation	1117	
weightlifting	1102	
riding pokemon	1086	
hair flip	1039	
slashing	1019	
archery	1015	
flying kick	983	
riding bicycle	909	
swinging	889	
crawling	796	
reloading	706	
walking on liquid	701	
flapping	684	
surfing	670	
diving	631	
playing sports	608	
jump rope	607	
stomping	557	
skating	547	
incoming punch	538	
dodging	507	
bouncing	490	
training	459	
skateboarding	458	
confrontation	435	
bouncing penis	432	
blocking	430	
throwing needles	417	
boxing	385	
catfight	381	
riding animal	379	
sinking	379	
sliding	376	
walking away	376	
koi dance	368	
rolling	368	
bouncing testicles	361	
ice skating	360	
stepping	355	
uppercut	349	
faceoff	343	
catching	342	
skinny dipping	320	
suplex	319	
snowball fight	306	
tossing	306	
crotch kick	286	
arm wrestling	281	
pitching	277	
swaying	274	
stalking	273	
belly dancing	265	
turning around	263	
pet walking	262	
landing	256	
clash	249	
slipping	246	
breakdance	244	
drifting	242	
rope walking	242	
sneaking	226	
juggling	220	
karate	220	
bouncing pecs	219	
jogging	212	
climbing ladder	211	
german suplex	209	
riding dragon	206	
tackle	203	
flipping food	184	
hip attack	184	
running towards viewer	170	
axe kick	164	
cocking gun	164	
pouncing	163	
squat (exercise)	161	
rowing	160	
bouncing hair	159	
twirl baton	155	
pillow fight	154	
snowboarding	152	
waltz (dance)	149	
skiing	148	
firing at viewer	147	
following	147	
drumming	146	
broom surfing	145	
kneeing	145	
hopping	141	
taking cover	141	
backflip	140	
samba	140	
mexican standoff	139	
skipping	138	
akira slide	137	
hair wagging	137	
elbowing	135	
rapid punches	131	
dogfight	128	
marching	128	
girly running	125	
throwing person	122	
bowling	119	
bumping	118	
throwing poke ball	118	
twerking	115	
shouryuuken	113	
slam dunk (basketball)	109	
somersault	109	
dribbling (basketball)	108	
target practice	108	
incoming kick	107	
hiking	106	
drop kick	105	
para para	102	
rocket punch	101	
walking bike	101	
sword clash	100	
airborne		
ascending		
backstroke		
breaststroke		
butterfly stroke		
canoeing		
cartwheel		
descending		
doggy paddle		
drown		
fencing		
front roll		
handspring		
idle animation		
kayaking		
leaping		
mid-stride		
motorcycling		
paddling		
parrying		
play fighting		
plunging		
push-ups		
rollerblading		
roundhouse kick		
sailing		
shooting		
sit-up		
snorkeling		
sprinting		
stabbing		
strolling		
stumbling		
swaying hips		
swim		
tango		
twirling		
vaulting		
walk cycle		
walk-in		
wallwalking		
windsurfing		
