tag	count	related
sitting	789325	
standing	752769	
lying	394069	
on back	229507	
leaning forward	104890	
kneeling	99773	
on side	78842	
wariza	75883	
squatting	75051	
thigh gap	73339	
standing on one leg	70710	
crossed legs	65547	
straddling	63271	
girl on top	59678	
on stomach	56379	
bent over	54525	
all fours	52468	
knees up	49797	
cowgirl position	37271	
knee up	36343	
legs up	32140	
seiza	31924	
legs apart	28035	
missionary	27829	
legs together	27319	
doggystyle	26412	
hand between legs	24672	
upside-down	19606	
sitting on person	19310	
top-down bottom-up	18633	
yokozuwari	18548	
arched back	17440	
fighting stance	16422	
stretching	14064	
indian style	12156	
hugging own legs	11965	
on one knee	10412	
sitting on lap	9482	
reverse cowgirl position	8169	
reclining	7425	
boy on top	6665	
reverse suspended congress	5077	
upright straddle	4574	
prone bone	4300	
spitroast	4199	
reverse upright straddle	3725	
mating press	3429	
fetal position	2925	
full nelson	2337	
69	2097	
suspended congress	1932	
spooning	1898	
bowlegged pose	1586	
balancing	1354	
handstand	1106	
butterfly sitting	915	
reverse spitroast	784	
amazon position	754	
prostration	555	
cowering	518	
thigh straddling	463	
crucifixion	447	
yoga	434	
faceplant	395	
figure four sitting	369	
separated legs	326	
battoujutsu stance	269	
spread eagle position	184	
superhero landing	169	
bear position	162	
anvil position		
bedroom eyes		
bent knee		
chest stand		
chest stand handstand		
crouching		
face focus		
foot on object		
full scorpion		
grabbing own leg		
hair falling over face		
hand on inner thigh		
hand on knee		
headstand		
heel lift		
hip out		
hip thrust forward		
hips forward		
hips thrust forward		
hipshot pose		
kicking leg up		
leg outstretched		
leg up pose		
legs crossed		
lifting skirt		
looking back seductively		
looking over shoulder		
lotus position		
low squat		
lying on side		
lying on stomach		
one knee on the ground		
one knee up		
one leg forward		
one leg raised		
piledriver		
provocative pose		
quadfold		
resting on one knee		
ruppelbend		
scorpion pose		
separated arms		
separated wrists		
shrimp tie		
side hip pose		
side profile squat		
sitting on heels		
sitting with legs spread		
smirking		
smug expression		
spreading legs		
standing pose		
suggestive pose		
sultry gaze		
swaying hips		
tilting head		
torso twist		
triplefold		
wall squat		
weight shift		
wide stance		
