tag	count
bird	74754
animal	71883
cat	54881
bug	49586
butterfly	40112
fish	25791
dog	18319
rabbit	18002
dragon	16970
snake	15746
black cat	10466
bat (animal)	10052
frog	8843
blue butterfly	7358
skeleton	6343
horse	5979
mouse (animal)	5410
starfish	5368
bone	5035
chick	4994
fox	4919
wolf	4841
crab	4793
crow	4703
penguin	4671
rubber duck	4401
spider web	4096
seagull	4088
octopus	4050
duck	3941
white cat	3446
computer mouse	3135
goldfish	2830
jellyfish	2785
bird on hand	2339
white bird	2300
caterpillar tracks	2163
turtle	1879
white snake	1879
spider	1873
tropical fish	1615
cartoon bone	1317
white butterfly	1295
glowing butterfly	1294
purple butterfly	1289
vaulting horse	1221
simple bird	1152
animal skull	1140
clownfish	1045
bagged fish	881
holding fish	838
flying fish	785
pet	782
crane (animal)	773
animal on hand	745
cat on shoulder	690
fish bone	685
seal (animal)	676
fish tank	631
grey cat	623
floating skull	619
wooden horse	610
black bird	606
red butterfly	587
ladybug	584
dragon ball (object)	557
too many cats	491
white dog	417
white rabbit (animal)	415
tit (bird)	413
fish skeleton	394
flaming skull	390
brown cat	383
caterpillar	314
dead animal	284
frozen frog	275
pony (animal)	268
husky	259
white horse	259
cobra (animal)	242
horse racing track	241
hermit crab	233
samoyed (dog)	228
french horn	214
prehistoric animal	196
robot dog	194
white wolf	194
puffer fish	187
swallow (bird)	186
cat ornament	176
fennec fox	176
grilled fish	169
butterfly on nose	168
poi (goldfish scoop)	162
siamese cat	162
animal on back	159
party horn	159
pomeranian (dog)	153
bird nest	149
dragon radar	149
toad (animal)	135
balloon animal	127
tuxedo cat	120
umbrella octopus	119
cat loaf	117
fox statue	117
jellyfish girl	115
cat on person	114
snake on shoulder	114
fish grill	113
rocking horse	111
black dog	110
animal balloon	103
grey wolf	102
