tag	count
outdoors	447763
indoors	322574
day	285985
blurry background	119855
gradient background	117669
night	91121
two-tone background	35462
sunset	21973
floral background	16488
chibi inset	12063
dark	10692
dark background	9479
photo background	6846
evening	6833
twilight	5578
heart background	4690
star symbol background	4330
text background	4282
head on pillow	3966
abstract background	3845
sparkle background	3086
patterned background	2713
sunrise	2613
3d background	1810
flag background	838
screenshot background	785
monochrome background	744
chocolate making	721
game screenshot background	664
leaf background	595
sketch background	506
starry sky background	474
rainbow background	470
lace background	448
fiery background	415
bubble background	385
splatter background	314
rose background	311
sofmap background	289
rabbit background	213
watercolor background	190
triangle background	189
fruit background	186
mosaic background	168
paneled background	149
paper background	142
colorful background	129
imageboard colors	128
cloud background	127
animal background	112
ai-generated background	
beige background	
bright background	
butterfly background	
card background	
collage background	
diagonal-striped background	
dithered background	
drama layer	
heaven condition	
lightning background	
multicolored background (deprecated)	
spider web background	
starry background	
weapon background	
