tag	count	related
pool	16402	
classroom	15676	
bedroom	12005	
bathroom	10249	
bathtub	8559	
kitchen	5621	
stage	4445	
library	3896	
locker room	3299	
office	2376	
gym	1835	
gym storeroom	1802	
toilet stall	1017	
messy room	1014	
infirmary	962	
fitting room	844	
changing room	694	
closet	652	
dungeon	647	
prison cell	624	
living room	530	
laboratory	431	
hotel room	397	
otaku room	335	
dressing room	203	
cubicle	180	
courtroom	168	
storage room	141	
ballroom	125	
cafeteria	119	
dining room	119	
conservatory	102	
workshop	100	
armory		
clubroom		
shower		
staff room		
