tag	count	related
flower	480748	
tree	126602	
petals	100326	
rose	78739	
grass	56034	
plant	54428	
cherry blossoms	42317	
red rose	23459	
bouquet	20302	
palm tree	19887	
falling petals	18300	
potted plant	17155	
bush	13926	
blue rose	12707	
autumn leaves	11659	
hibiscus	11532	
white rose	10603	
pink rose	9112	
vines	8849	
maple leaf	8837	
christmas tree	8634	
bamboo	8041	
mushroom	7742	
bare tree	7141	
black flower	7113	
cherry	6810	
lily (flower)	6153	
falling leaves	6131	
orange flower	6061	
rose petals	5656	
autumn	5447	
on grass	5435	
purple rose	4935	
spring onion	4203	
clover	4180	
spider lily	4119	
flower wreath	3993	
yellow rose	3755	
lily pad	3496	
flower pot	3157	
four-leaf clover	3027	
lotus	3023	
black rose	2898	
palm leaf	2607	
tree shade	2397	
wreath	2260	
green flower	1877	
spring (season)	1860	
pink petals	1689	
ginkgo leaf	1639	
petals on liquid	1614	
tree stump	1488	
white lily	1478	
pine tree	1448	
lily of the valley	1378	
cactus	1340	
bamboo steamer	1319	
bamboo broom	1311	
orange rose	1098	
red petals	1095	
grey flower	1017	
under tree	1003	
hanging plant	891	
qingxin flower	855	
plant roots	831	
peony (flower)	830	
anemone (flower)	731	
leaf umbrella	721	
flower on liquid	717	
green rose	713	
glowing flower	709	
coconut tree	702	
flower in mouth	668	
brown flower	649	
christmas wreath	556	
bamboo shoot	506	
super mushroom	496	
nemophila (flower)	492	
blue petals	491	
ginkgo tree	491	
cosmos (flower)	468	
lotus leaf	436	
multicolored flower	431	
flower basket	423	
iris (flower)	412	
cherry tomato	405	
lavender (flower)	404	
tall grass	398	
flower bed	391	
eurasian tree sparrow	370	
grey rose	364	
rose bush	358	
red spider lily	356	
holding flower pot	353	
cherry tree	339	
fruit tree	309	
giant tree	292	
bamboo screen	279	
clover (flower)	277	
yellow petals	266	
violet (flower)	264	
maple tree	240	
fire flower	225	
planter	219	
artificial flower	214	
purple petals	192	
chinese lantern (plant)	191	
cecilia flower (genshin impact)	186	
rice (plant)	173	
brown rose	170	
fir tree	170	
elpis flower	168	
spring (object)	167	
crystal flower	157	
maple syrup	154	
too many flowers	146	
white spider lily	141	
bougainvillea (flower)	140	
clematis (flower)	140	
yellow leaves	132	
gentiana (flower)	130	
freesia (flower)	129	
giant mushroom	127	
flower focus	126	
apple tree	125	
on tree	121	
lotus pedestal	120	
lotus pod	120	
wilted flower	117	
birch tree	112	
lobelia (flower)	112	
carnivorous plant	111	
bird of paradise flower	110	
strawberry plant	103	
dogwood (flower)	102	
lotus root	101	
