tag	count	related
innertube	26713	
water drop	22683	
sand	21249	
water bottle	9981	
watercraft	9491	
ripples	8401	
beach umbrella	7903	
shell	7606	
waves	5678	
puddle	4652	
ship	4552	
boat	4408	
lifebuoy	3872	
reflective water	3303	
seashell	3013	
turtle shell	2835	
pool ladder	2715	
beach chair	2512	
shallow water	2146	
spiked shell	1536	
wading pool	1203	
sand sculpture	1189	
pool of blood	1037	
inflatable raft	948	
sand castle	934	
ice cream float	905	
beach mat	817	
rei no pool	804	
water lily flower	589	
coral reef	445	
empty pool	442	
water slide	434	
water yoyo	432	
yellow innertube	412	
pool table	393	
water balloon	367	
banana boat	360	
clam shell	339	
bucket of water	294	
green innertube	286	
pirate ship	259	
sea turtle	243	
raft	190	
watermelon beachball	182	
palanquin ship	179	
flying boat	176	
sailing ship	173	
misty lake	172	
sand writing	166	
water wheel	155	
water tower	143	
water tank	138	
beach house	137	
sea spray	130	
seascape	129	
frozen lake	128	
orange innertube	122	
ship deck	119	
model ship	118	
holding water	116	
red ocean	113	
sea anemone	110	
sea cucumber	105	
ocean sunfish	103	
