tag	count	related
sparkle	106790	
shadow	94294	
blood	84626	
fire	50167	
steam	47042	
light particles	42849	
reflection	31017	
smoke	29269	
bubble	24398	
glint	22230	
confetti	14144	
electricity	14026	
magic	12393	
air bubble	10935	
fireworks	9510	
aura	9246	
puff of air	8312	
explosion	7381	
magic circle	6763	
crack	6201	
blood splatter	5837	
blue fire	5831	
soap bubbles	5284	
energy	5123	
spotlight	4060	
contrail	3925	
paint splatter	3842	
stage lights	3171	
aerial fireworks	3017	
light trail	2950	
steam censor	2847	
dust	2262	
light bulb	2259	
neon lights	2060	
traffic light	2049	
energy ball	1928	
sparkler	1869	
monster energy	1712	
christmas lights	1567	
fireflies	1523	
purple fire	1485	
pink blood	1477	
laser	1469	
blood bag	995	
blood on ground	968	
candlelight	901	
hanging light	855	
energy cannon	829	
energy beam	801	
screen light	615	
green fire	599	
steam locomotive	474	
fire extinguisher	440	
string of light bulbs	414	
crack of light	379	
light switch	330	
firefly	267	
bubble pipe	261	
colored smoke	255	
blood trail	244	
fire hydrant	207	
ultraviolet light	167	
blue light	160	
green light	142	
in bubble	130	
red fire	116	
smoke heart	100	
