tag	count
food	324823
cup	145652
fruit	76430
candy	41279
drinking glass	34010
plate	32617
alcohol	30325
cake	27209
drinking straw	24866
teacup	24450
mug	22630
popsicle	22465
lollipop	22231
drink	19881
chocolate	19804
ice cream	18286
spoon	17984
fork	16892
strawberry	16804
food on face	15776
apple	15380
disposable cup	13385
wine glass	12874
pocky	12733
carrot	11100
teapot	10846
bread	10272
drink can	9799
wagashi	9548
tea	8798
peach	8787
burger	8426
doughnut	8091
cookie	7647
saucer	7583
beer	7544
coffee	7484
watermelon	7366
wine	7117
heart-shaped food	6425
egg	6294
sake	6187
beer mug	6117
rice	6111
coffee mug	6078
dango	5998
cake slice	5905
heart-shaped chocolate	5754
ice cream cone	5659
wine bottle	5611
meat	5487
grapes	5210
noodles	5208
onigiri	5076
orange (fruit)	4889
macaron	4416
beer can	4403
milk	4358
lemon	4174
pizza	4083
mandarin orange	4080
soda can	3903
parfait	3870
chips (food)	3756
candy apple	3667
bubble tea	3655
sake bottle	3583
sandwich	3574
tomato	3506
vegetable	3404
pancake	3381
stained glass	3246
cupcake	3205
disposable coffee cup	3197
broken glass	3051
cocktail glass	3025
milk bottle	2973
candy cane	2958
ramen	2940
birthday cake	2863
potato chips	2660
lemon slice	2645
bread slice	2542
bento	2500
milk carton	2429
strawberry shortcake	2410
juice box	2299
swirl lollipop	2298
choko (cup)	2257
fried egg	2141
egg (food)	2097
sanshoku dango	2061
lotion bottle	2036
rice bowl	2026
chicken (food)	2024
sweet potato	1937
curry	1887
orange slice	1825
magnifying glass	1787
fast food	1759
bendy straw	1674
fish (food)	1638
juice	1636
ketchup	1613
cup ramen	1527
boned meat	1518
tropical drink	1509
checkerboard cookie	1497
cotton candy	1496
soda bottle	1406
energy drink	1402
cocktail	1368
soda	1350
pizza slice	1331
candy wrapper	1205
oversized food	1197
food stand	1186
pancake stack	1184
glass bottle	1178
watermelon slice	1149
potato	1131
hot dog	1124
corn	1105
in cup	1094
curry rice	1091
bad food	1038
plastic bottle	1017
red wine	1015
easter egg	997
pizza box	952
soap bottle	949
perfume bottle	939
license plate	932
green tea	916
baby bottle	904
steak	898
glass shards	897
melon	883
nissin cup noodle	882
holding cake	864
kiwi (fruit)	864
crazy straw	861
chocolate cake	860
beer bottle	847
tea set	810
pineapple	792
lime (fruit)	788
golden apple	744
canned coffee	735
melon bread	729
roasted sweet potato	726
shampoo bottle	719
food wrapper	715
wrapped candy	702
ketchup bottle	694
coffee pot	687
food art	669
food packaging	668
cabbage	661
cracked glass	655
print mug	644
popsicle stick	616
fruit cup	608
pet food	603
fried rice	590
lime slice	587
alcohol carton	567
champagne bottle	566
orange juice	555
heart straw	554
cocktail shaker	543
spray bottle	540
donut	521
chocolate banana	516
jug (bottle)	516
strawberry cake	505
orange cat	495
tart (food)	492
chocolate chip cookie	489
turkey (food)	462
shot glass	436
coffee maker	432
chocolate syrup	426
wooden spoon	423
ice cream cup	411
strawberry parfait	399
tomato slice	385
kiwi slice	377
melon soda	371
black tea	366
corn dog	366
egg yolk	364
cocktail umbrella	360
hot chocolate	355
shaped lollipop	355
hamburger steak	352
chocolate cornet	336
canned food	334
stuffed carrot	332
apple pie	331
ice cream spoon	331
mint chocolate	330
rice cooker	319
coffee beans	308
tsukimi dango	275
yuzu (fruit)	271
spilled milk	265
corn cob	263
hurricane glass	263
fried egg on toast	262
loaf of bread	262
margherita pizza	260
pokemon egg	259
corked bottle	256
hardboiled egg	256
straw doll	254
plate stack	249
bread bun	247
flying saucer	243
broken plate	241
bitten apple	227
mont blanc (food)	227
fruit bowl	212
raw meat	211
ikura (food)	204
bottle cap	202
strawberry blossoms	200
cake stand	194
burnt food	193
coconut cup	193
squeeze bottle	193
white chocolate	193
strawberry milk	192
apple juice	188
ice cream cone spill	187
iced tea	187
milk churn	186
chocolate doughnut	183
green apple	183
matcha (food)	175
glass teapot	173
medicine bottle	172
broken bottle	168
broken cup	168
cracked egg	167
layer cake	166
fruit basket	161
pineapple slice	161
softboiled egg	160
hanging food	159
iced coffee	159
straw (stalk)	159
spoon straw	158
coffee grinder	157
pizza delivery	156
tasting plate	155
wooden cup	154
apple rabbit	153
souffle pancake	150
dango milk (genshin impact)	149
holding juice box	149
maxim tomato	146
broken egg	142
on plate	142
hot drink	136
sapporo beer	135
dropped food	131
ice cream crepe	131
food truck	126
submarine sandwich	125
youkan (food)	125
molotov cocktail	124
blackberry (fruit)	123
mayonnaise bottle	120
apple on head	119
blue apple	119
milk tea	119
measuring cup	118
kashiwa mochi (food)	117
holding donut	116
konnyaku (food)	116
heart-shaped cake	115
chinese spoon	114
sandwich cookie	112
apple core	110
instant ramen	110
chocolate milk	109
eclair (food)	108
bugles (food)	106
fish bottle	104
skull cup	103
fruit on liquid	101
glass teacup	100
melon slice	100
melting popsicle	100
