tag	count	related
book	101012	
stuffed toy	65362	
feathers	56832	
stuffed animal	53370	
box	44188	
spikes	34330	
tray	30222	
cigarette	22495	
can	21852	
tiles	21463	
lantern	21402	
paper	21240	
rock	20814	
ghost	20428	
open book	20376	
gift box	17429	
camera	16851	
folding fan	15779	
duel monster	15642	
clock	14793	
beachball	14589	
guitar	14301	
basket	14199	
cable	14140	
poke ball (basic)	13877	
candle	13807	
lamp	13650	
jack-o'-lantern	13121	
shade	13029	
balloon	12849	
key	12464	
bucket	12048	
hitodama	11814	
stuffed rabbit	11748	
space	11408	
computer	10643	
sack	10108	
torii	10065	
monitor	9667	
photo (object)	9542	
stool	9236	
coin	9064	
playing card	8980	
pumpkin	8857	
picture frame	8264	
chalkboard	8194	
pencil	8091	
television	7942	
power lines	7736	
sakazuki	7641	
cushion	7433	
floating object	7197	
book stack	7057	
oversized object	6933	
planet	6900	
cardboard box	6835	
chess piece	6718	
gap (touhou)	6617	
suitcase	6354	
scroll	6296	
orb	6230	
vase	6212	
paper lantern	6178	
shopping bag	6043	
laptop	5873	
poster (object)	5710	
teardrop	5554	
notebook	5419	
slime (substance)	5338	
money	5305	
hose	5266	
armchair	5240	
computer keyboard	5235	
trading card	5210	
doorway	5121	
lock	5015	
tablet pc	5011	
ladle	4947	
kotatsu	4943	
throne	4918	
statue	4877	
test tube	4812	
white feathers	4807	
tissue box	4788	
gourd	4758	
hydrangea	4694	
painting (object)	4603	
scope	4579	
jar	4371	
command spell	4354	
thorns	4351	
snowman	4331	
remote control	4330	
stick	4309	
chewing gum	4268	
gears	4196	
letter	4120	
shouji	4046	
christmas ornaments	4019	
envelope	3942	
paper bag	3892	
flight deck	3797	
earth (planet)	3795	
constellation	3780	
chicken	3779	
cage	3775	
debris	3770	
trash can	3752	
game console	3732	
stylus	3731	
smokestack	3623	
lotion	3565	
sushi	3556	
danmaku	3545	
banner	3542	
plum blossoms	3539	
in box	3538	
calligraphy brush	3516	
french fries	3516	
electric fan	3507	
cream	3480	
shower head	3431	
trefoil	3422	
spill	3399	
needle	3396	
sheep	3387	
embers	3381	
stuffed cat	3336	
banana	3332	
dice	3309	
baozi	3275	
dusk	3254	
cheese	3225	
flask	3210	
map	3181	
frying pan	3180	
plastic bag	3157	
piano	3138	
toy	3108	
sink	3106	
pill	3105	
toothbrush	3078	
string of fate	3073	
graffiti	3059	
hallway	3054	
bear	3052	
spacecraft	3042	
carpet	3040	
ice cube	3002	
speaker	2999	
shark	2997	
tiger	2996	
champagne flute	2974	
arch	2969	
candlestand	2954	
cat print	2935	
omelet	2933	
tokkuri	2922	
drawing (object)	2904	
owl	2865	
ladder	2851	
basketball (object)	2811	
treble clef	2808	
pudding	2795	
moss	2791	
newspaper	2788	
drone	2774	
mochi	2772	
shikishi	2762	
white theme	2756	
enpera	2747	
paint	2719	
rug	2714	
darkness	2706	
mop	2694	
shaved ice	2684	
counter	2675	
puppet	2626	
surfboard	2582	
calendar (object)	2578	
tombstone	2502	
string of flags	2498	
skewer	2481	
shower (place)	2468	
volleyball	2443	
yunomi	2440	
torch	2421	
daisy	2420	
vending machine	2413	
steering wheel	2407	
wooden bucket	2400	
shrimp	2394	
poker chip	2386	
corpse	2380	
drawing tablet	2380	
sunburst	2366	
drawer	2360	
eraser	2346	
dove	2337	
morning	2337	
pig	2334	
ace (playing card)	2333	
cabinet	2330	
footprints	2313	
wire	2313	
panda	2309	
crepe	2308	
vial	2306	
used tissue	2290	
falling feathers	2287	
dessert	2284	
sparks	2280	
hexagram	2278	
swing	2263	
faucet	2251	
sweets	2242	
whisk	2242	
alarm clock	2233	
cube	2228	
barrel	2225	
racket	2225	
rubble	2213	
cooking pot	2210	
cigar	2209	
manga (object)	2203	
chandelier	2174	
overcast	2169	
industrial pipe	2158	
banknote	2157	
stuffed shark	2156	
whale	2143	
refrigerator	2141	
birdcage	2139	
toast	2133	
baguette	2132	
nail (hardware)	2122	
video camera	2099	
figure	2093	
overgrown	2081	
holly	2080	
whipped cream	2076	
pov doorway	2049	
ufo	2046	
omurice	2034	
holding hose	2013	
air conditioner	1991	
skyline	1986	
tarot	1980	
tissue	1979	
taiyaki	1973	
keyboard (instrument)	1966	
marker	1964	
veranda	1955	
sketchbook	1938	
menu	1935	
thrusters	1927	
column	1923	
soap	1918	
basketball	1908	
tennis racket	1887	
visible air	1880	
tulip	1878	
pavement	1864	
grey tail	1862	
fumo (doll)	1852	
squirrel	1845	
board game	1840	
tube	1809	
warship	1808	
watering can	1807	
soccer ball	1805	
treasure chest	1804	
bomb	1800	
notepad	1786	
blueberry	1782	
ink	1781	
ramune	1780	
fighter jet	1776	
pastry	1776	
lube	1774	
gate	1765	
destruction	1763	
wisteria	1756	
screen	1735	
baseball	1729	
kettle	1724	
hamster	1719	
cockpit	1712	
sunscreen	1693	
love letter	1679	
stove	1673	
broken chain	1652	
tiered tray	1651	
camellia	1647	
holographic interface	1647	
lion	1645	
tablecloth	1637	
pie	1636	
missile	1634	
berry	1632	
cooler	1626	
potion	1620	
wheel	1619	
wheelchair	1612	
weighing scale	1611	
earth (ornament)	1605	
mechanical pencil	1601	
playstation controller	1601	
squid	1601	
palette (object)	1600	
fireplace	1599	
phonograph	1598	
picnic basket	1597	
drum set	1589	
stone lantern	1586	
dolphin	1584	
in bucket	1581	
heartbeat	1580	
volleyball (object)	1577	
tent	1572	
foliage	1562	
dumbbell	1538	
mixing bowl	1536	
runes	1528	
box of chocolates	1527	
concert	1523	
pendulum	1519	
lettuce	1514	
sponge	1513	
spirit	1512	
eagle	1511	
monkey	1498	
crate	1494	
cucumber	1489	
flashlight	1480	
severed head	1478	
sunflower field	1477	
ema	1472	
globe	1471	
hagoita	1471	
club (shape)	1464	
chest of drawers	1458	
log	1452	
dowsing rod	1446	
sausage	1441	
champagne	1434	
takoyaki	1433	
deer	1429	
shards	1429	
shiba inu	1428	
portrait (object)	1426	
dakimakura (object)	1425	
bookmark	1420	
duster	1420	
holding envelope	1419	
washing machine	1418	
cursor	1417	
trash bag	1401	
lighter	1399	
tempura	1392	
flock	1391	
rolling suitcase	1386	
scooter	1373	
crane (machine)	1366	
haniwa (statue)	1363	
round-bottom flask	1361	
saw	1361	
makizushi	1357	
thread	1351	
daruma doll	1339	
campfire	1333	
traffic cone	1333	
streamers	1332	
mahjong	1323	
sundae	1320	
video game	1308	
canvas (object)	1306	
corded phone	1301	
party popper	1296	
cutting board	1290	
rook (chess)	1288	
under kotatsu	1288	
ace of hearts	1287	
chalk	1283	
christmas present	1282	
floating weapon	1277	
pasta	1275	
morning glory	1270	
soup	1269	
popcorn	1261	
snail	1258	
chimney	1256	
camcorder	1248	
coffin	1242	
donation box	1242	
pokemon on shoulder	1235	
ruler	1233	
bishop (chess)	1230	
queen (chess)	1230	
chemical structure	1229	
spray can	1229	
cow	1220	
analog clock	1213	
mahjong tile	1210	
picnic	1207	
pet bowl	1199	
tennis ball	1195	
electric plug	1192	
inkwell	1192	
grand piano	1189	
king (chess)	1187	
shikigami	1182	
wheat	1180	
origami	1174	
crt	1169	
screwdriver	1168	
zabuton	1165	
propeller	1160	
radio	1141	
bag of chips	1136	
easel	1135	
lattice	1134	
yarn	1134	
pennant	1128	
stain	1128	
kine	1126	
hourglass	1124	
electrical outlet	1116	
snack	1113	
crumbs	1104	
thermometer	1099	
paper stack	1098	
dandelion	1097	
dumpling	1096	
bullet hole	1094	
stuffed winged unicorn	1087	
gift bag	1086	
honey	1082	
bud	1081	
icing	1079	
teruterubouzu	1078	
hologram	1076	
hammock	1071	
crayon	1069	
amplifier	1068	
barbed wire	1068	
gold coin	1066	
tanzaku	1064	
eggplant	1063	
napkin	1063	
snowball	1060	
playstation portable	1054	
machine	1053	
telescope	1043	
sauna	1041	
coconut	1033	
holed coin	1024	
foam	1017	
pinwheel	1013	
whiskey	1012	
galaxy	1010	
child's drawing	1009	
screw	1007	
toast in mouth	1007	
boar	1006	
yarn ball	1005	
bulletin board	1000	
doily	1000	
porch	995	
beans	989	
windowsill	988	
exercise ball	987	
crane game	986	
omikuji	984	
brick	978	
grill	971	
swiss roll	970	
seaweed	965	
spoiler (automobile)	963	
tongs	960	
thermos	958	
wrestling ring	958	
ace of spades	950	
koi	948	
pigeon	948	
planet hair ornament	948	
maneki-neko	946	
spaghetti	946	
duckling	943	
shrimp tempura	942	
mochi trail	938	
floating book	937	
mat	935	
moth	934	
storefront	932	
searchlight	923	
audience	922	
butter	919	
loaded interior	913	
art brush	909	
crystal ball	902	
lute (instrument)	900	
milky way	898	
cream on face	896	
papers	891	
drum (container)	889	
game boy	888	
heads-up display	888	
portal (object)	888	
cd	887	
wallpaper (object)	884	
reindeer	880	
jaguar print	879	
cola	864	
antique phone	858	
sparrow	857	
mannequin	856	
turret	849	
restroom	847	
cigarette pack	845	
guard rail	844	
mast	843	
anglerfish	841	
stained sheets	841	
karaoke	840	
ivy	839	
dirt	837	
hole	830	
materia	830	
condensation	827	
muzzle flash	825	
sugar cube	824	
pregnancy test	818	
menu board	817	
net	816	
acorn	812	
harp	812	
jeweled branch of hourai	812	
fried chicken	808	
stuffed penguin	808	
ashtray	804	
elevator	803	
log pose	803	
volleyball net	802	
onbashira	799	
ehoumaki	797	
radish	797	
