tag	count	related
siblings	79035	
sisters	53156	
couple	43853	
twins	22118	
brother and sister	19126	
mother and daughter	12240	
husband and wife	5929	
father and daughter	5195	
family	4811	
mother and son	4448	
brothers	4061	
wife and wife	3405	
father and son	2889	
cousins	2280	
friends	1461	
teacher and student	1284	
triplets	921	
aunt and niece	787	
step-siblings	690	
teamwork	523	
quintuplets	456	
uncle and niece	424	
aunt and nephew	389	
rivalry	350	
mother and child	326	
half-siblings	325	
grandmother and granddaughter	303	
grandmother and grandson	265	
master and servant	223	
husband and husband	190	
step-sisters	189	
grandfather and grandson	168	
step-brother and step-sister	145	
forced partners	143	
uncle and nephew	110	
