tag	count	related
hetero	469229	
yuri	191126	
yaoi	37648	
bara	34394	
femdom	13396	
futa with female	13024	
incest	12963	
onee-shota	10830	
netorare	6009	
oppai loli	5665	
female pervert	5653	
pokephilia	4016	
kodomo doushi	3756	
slave	3493	
onee-loli	3469	
harem	2804	
humiliation	2770	
cheating (relationship)	2687	
bisexual female	2686	
prostitution	2557	
fff threesome	2397	
selfcest	2258	
twincest	2142	
futa with futa	2027	
dominatrix	1979	
penis size difference	1967	
implied yuri	1769	
ryona	1620	
futa without pussy	1619	
futa on male	1477	
abuse	1101	
masochism	1078	
public use	1078	
stripper	1021	
vore	1018	
objectification	1008	
futasub	948	
kono lolicon domome	941	
lolidom	872	
implied yaoi	865	
sadism	859	
chikan	831	
mmm threesome	817	
implied pregnancy	798	
anal only	797	
reverse fellatio	797	
drugged	796	
paizuri invitation	794	
sexual coaching	787	
implied after sex	777	
josou seme	770	
onii-shota	757	
tentacles on male	746	
torture	741	
toddlercon	712	
boy sandwich	690	
male on futa	686	
himejoshi	530	
implied incest	467	
virgin	452	
other with female	319	
implied prostitution	315	
newhalf with female	303	
forced	294	
soapland	266	
newhalf with male	263	
human dog	230	
yuujo	200	
shotadom	186	
netorase	184	
male harem	183	
reverse ryona	182	
bimbofication	180	
