tag	count	related
1girl	4974288	
solo	4005860	
multiple girls	1116912	
1boy	887987	
2girls	766897	
multiple boys	228700	
3girls	167209	
2boys	139896	
4girls	75858	
no humans	63085	
6+girls	58966	
sleeping	53574	
1other	53056	
3boys	40565	
5girls	40400	
scenery	40244	
selfie	18986	
4boys	17727	
6+boys	17252	
cityscape	13836	
reading	12075	
multiple others	11016	
everyone	9442	
animal on head	9339	
playing instrument	9319	
5boys	8404	
tail wagging	7560	
recording	7340	
object on head	6540	
cooking	6481	
taking picture	6449	
playing games	6252	
waking up	5403	
2others	5268	
food on body	5037	
pouring	5007	
landscape	4829	
suction cups	4776	
animal on shoulder	4755	
crowd	4120	
yukkuri shiteitte ne	4075	
death	3644	
bird on head	3439	
people	3361	
bleeding	3328	
hiding	3086	
food on head	3030	
driving	3008	
caught	3006	
melting	2866	
writing	2816	
cold	2804	
spilling	2681	
surrounded by penises	2648	
sleeping on person	2471	
tail wrap	2434	
incoming gift	2319	
chocolate on body	2313	
burning	2306	
implied futanari	2248	
still life	2145	
dreaming	2108	
breasts on head	2091	
electrokinesis	2063	
drying	2032	
butterfly on hand	2001	
incoming food	1997	
pyrokinesis	1927	
6+others	1764	
fishing	1753	
chocolate on breasts	1709	
breath weapon	1702	
tail between legs	1672	
tail around own leg	1653	
pokemon on head	1628	
object through head	1599	
unconscious	1595	
pouring onto self	1576	
breathing fire	1565	
painting (action)	1560	
group picture	1550	
talking on phone	1536	
shared food	1508	
breasts on table	1506	
in food	1495	
bird on shoulder	1491	
drawing bow	1429	
animal on lap	1315	
hydrokinesis	1306	
in the face	1286	
giving up the ghost	1241	
cat on head	1236	
theft	1187	
yellow butterfly	1158	
shopping	1129	
food on breasts	1125	
holding detached head	1029	
giant monster	885	
animal on arm	882	
measuring	876	
object on breast	868	
rice on face	856	
multitasking	834	
surrounded	815	
frozen	808	
flying paper	806	
watching television	787	
wrong foot	786	
captured	782	
breaking	773	
absolutely everyone	754	
suicide	738	
playing guitar	706	
listening to music	704	
sheet ghost	703	
playing piano	688	
sewing	685	
lifted by tail	652	
wiping	637	
food on hand	631	
decapitation	628	
murder	589	
wrist cutting	585	
cat on lap	583	
covering with blanket	569	
drowning	567	
bird on arm	561	
cutting	558	
grilling	550	
baking	546	
powering up	546	
time stop	512	
sharing food	499	
cryokinesis	477	
relaxing	462	
studying	459	
typing	446	
hemokinesis	441	
interview	440	
incoming drink	434	
spraying	433	
taking shelter	431	
ofuda on pussy	426	
5others	422	
object floating above hand	413	
delivery	408	
posing	405	
dying	388	
kidnapping	381	
drawing on another's face	378	
resting	376	
lighting cigarette	370	
stirring	368	
peeling	364	
drawing (action)	363	
breasts on another's back	354	
knitting	341	
iei	338	
waiting	335	
underwear theft	333	
modeling	321	
watering	316	
kidnapped	314	
cannibalism	303	
knocking	293	
electrocution	290	
lion dance	268	
nyotaimori	268	
fainting	264	
energy drain	263	
magic trick	260	
punishment	255	
sleepover	255	
arrest	244	
teaching	243	
bisected	240	
piercing pull	239	
sunbathing	239	
wiping blood	235	
headshot	233	
playing bass guitar	231	
nude modeling	230	
playing flute	230	
buying condoms	223	
piloting	220	
fainted	219	
repairing	215	
gardening	213	
searching	213	
washing vehicle	213	
sitting on food	210	
dismemberment	206	
drying clothes	203	
painting fingernails	200	
lounging	198	
unlikely accident	198	
working	197	
animal between breasts	193	
healing	193	
serving	187	
around corner	180	
execution	180	
mirror selfie	180	
shared drink	180	
queue	179	
convention greeting	178	
on animal	173	
cream on breasts	172	
pouring onto another	171	
sexting	170	
feigning sleep	169	
through ground	167	
transforming clothes	166	
recharging	164	
turning page	162	
digging	161	
tail around another's leg	157	
chopping	152	
beaten	145	
squirting liquid	136	
tail around arm	132	
sketching	131	
bath of blood	128	
roasting	128	
stuck in a box	128	
carving	127	
sharing	125	
speech stab	125	
eavesdropping	123	
mixing	123	
helping	122	
mouth beam	120	
abduction	108	
heart attack	108	
waking another	108	
wrapping	108	
pie in face	106	
tail around waist	106	
interrupted	104	
polishing	103	
blood sucking	100	
arranged by hair color		
baby pillow		
body painting		
coloring		
filming		
left-handed		
napping		
off-topic		
performing		
phone call		
photography		
playing accordion		
playing cello		
playing drums		
playing harp		
playing saxophone		
playing video games		
playing violin		
practicing		
rehearsing		
sharing drink		
sitting on vehicle		
streaming		
tail around neck		
texting		
trick-or-treating		
vlogging		
